Transaction Name,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industry,Diversity Spotlight (US Only),Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Rounds)
Series B - Avenda Health,Avenda Health,Series B,"$10,000,000.0",2022-08-25,Early Stage Venture,,Yes,Revolutionizing prostate cancer treatment.,"Artificial Intelligence, Health Care, Machine Learning, Medical Device, Software, Therapeutics","South Asian Founded, Women Founded",www.avendahealth.com/,"Santa Monica, California, United States, North America",$1M to $10M,"$19,325,000.0",Early Stage Venture,4,VCapital,"Plug and Play, VCapital, Wealthing VC Club",3,,147
Series D - Tridge,Tridge,Series D,"$35,804,890.0",2022-08-24,Late Stage Venture,"$2,542,147,190.0",Yes,Tridge develops an online trade platform that matches global food agriculture buyers and sellers.,"Agriculture, AgTech, E-Commerce, Trading Platform",,www.tridge.com,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",$10M to $50M,"$113,785,747.0",Late Stage Venture,4,DS Asset Management,DS Asset Management,1,,148
Debt Financing - Qcells,Qcells,Debt Financing,"$150,000,000.0",2022-09-08,,,No,Qcells provides the key figures that make us the best choice for your investment into a qualified solar solution.,"Electronics, Energy, Solar",,www.q-cells.com,"Wolfen, Sachsen-Anhalt, Germany, Europe",,"$162,246,767.0",M&amp;A,2,"BNP Paribas, Credit Agricole CIB","BNP Paribas, Credit Agricole CIB",2,,149
Seed Round - Wondermind,Wondermind,Seed,"$5,000,000.0",2022-08-11,Seed,"$95,000,000.0",Yes,"Wondermind helps people care for their mental health via daily content, CPG products, and storytelling.","Health Care, Medical, Wellness",,www.wondermind.com/,"New York, New York, United States, North America",,"$5,000,000.0",Seed,1,Serena Ventures,"Brenton Saunders, Lightspeed Venture Partners, Natalie Carnegie, Sequoia Capital, Serena Ventures",5,,150
Series A - Klavi,Klavi,Series A,"$15,000,000.0",2022-08-11,Early Stage Venture,,Yes,"Klavi is a developer of an open finance platform for data aggregation, analytics, and API services.","Banking, Credit, Financial Services, FinTech, Payments",,www.klavi.ai,"São Paulo, Sao Paulo, Brazil, South America",,"$16,500,000.0",Early Stage Venture,2,"Iporanga Ventures, Parallax Ventures","Câmara Interbancária de Pagamentos, GSR Ventures, Iporanga Ventures, Parallax Ventures, Vivo Capital",5,,151
Series A - Skribble,Skribble,Series A,"$10,397,666.000000002",2022-08-31,Early Stage Venture,,Yes,Skribble is a platform for electronic signatures that presupposes the identification of the signatures.,"Information Technology, Internet, Software",,www.skribble.com/,"Zürich, Zurich, Switzerland, Europe",,"$15,648,487.330000002",Early Stage Venture,3,"Acton Capital, VI Partners","Acton Capital, btov Partners, Die Mobiliar, Helvetia Venture Fund, Luzius Meisser, VI Partners, Zürcher Kantonal Bank",7,,152
Series C - Fairmarkit,Fairmarkit,Series C,"$35,600,000.0",2022-09-01,Late Stage Venture,,Yes,Fairmarkit is an automated sourcing platform that gives procurement teams what they need to be more efficient with every purchase.,"Enterprise Software, Procurement, Productivity Tools, Software, Supply Chain Management",,fairmarkit.com/,"Boston, Massachusetts, United States, North America",$1M to $10M,"$77,488,963.0",Late Stage Venture,4,OMERS Growth Equity,"GGV Capital, Highland Capital Partners, Insight Partners, OMERS Growth Equity, ServiceNow",5,,153
Series B - AtoB,AtoB,Series B,"$75,000,000.0",2022-08-16,Early Stage Venture,"$725,000,000.0",Yes,AtoB is a technology company building payments infrastructure for the transportation industry.,"FinTech, Payments, Sustainability, Transportation",,www.atob.com,"San Francisco, California, United States, North America",$10M to $50M,"$257,000,000.0",Early Stage Venture,5,"Elad Gil, General Catalyst","Collaborative Fund, Contrary, Elad Gil, General Catalyst, Leadout Capital, XYZ Venture Capital",6,,154
Series B - Solsten,Solsten,Series B,"$21,800,000.0",2022-08-18,Early Stage Venture,,Yes,Solsten is an AI firm engaged in understanding human behavior in the digital world to power the future of customer experience.,"Artificial Intelligence, Information Technology, Machine Learning, Psychology",,getsolsten.com/,"Berlin, Berlin, Germany, Europe",,"$38,600,000.0",Early Stage Venture,5,Konvoy Ventures,"Bascom Ventures, Dentsu Ventures, Galaxy Interactive, GFR Fund, Inventure, Konvoy Ventures, Sisu Game Ventures, Warburg Serres Investments, Washington Harbour Partners",9,,155
Seed Round - AstriVax,AstriVax,Seed,"$29,983,127.1",2022-08-25,Seed,,Yes,AstriVax,"Clinical Trials, Medical",,,"Heverlee, Vlaams-Brabant, Belgium, Europe",,"$29,983,127.1",Seed,1,"Fund+, V-Bio Ventures","Ackermans &amp; van Haaren, BNP Paribas Fortis, Flanders Future Techfund, Fund+, Gemma Frisius Fund, Mérieux Equity Partners, Thuja Capital, V-Bio Ventures",8,,156
Series A - HyperTrack,HyperTrack,Series A,"$25,000,000.0",2022-08-17,Early Stage Venture,,Yes,Location API for business automation,"Developer APIs, Location Based Services, SaaS",,www.hypertrack.com/,"San Francisco, California, United States, North America",,"$33,500,000.0",Early Stage Venture,3,Westbridge Capital,"Nexus Venture Partners, Westbridge Capital",2,,157
Series D - Dian Xiaomi,Dian Xiaomi,Series D,"$110,000,000.0",2022-08-15,Late Stage Venture,,Yes,Dian Xiaomi provides one-stop services for global e-commerce sellers.,"E-Commerce, Logistics, Service Industry",,www.dianxiaomi.com/,"Longgang, Guangdong, China, Asia",,"$255,194,426.0",Late Stage Venture,6,"Sequoia Capital China, SoftBank Vision Fund","GGV Capital, Huaxing Growth Capital, Sequoia Capital China, SoftBank Vision Fund, Tiger Global Management",5,,158
Series A - Diveplane,Diveplane,Series A,"$25,000,000.0",2022-09-12,Early Stage Venture,,Yes,Diveplane develops an AI-based platform that is faster than current off-the-shelf solutions and can train on significantly less data.,"Artificial Intelligence, Information Technology, Machine Learning",,www.diveplane.com,"Raleigh, North Carolina, United States, North America",,"$34,000,000.0",Early Stage Venture,4,Shield Capital,"Calibrate Ventures, L3 Harris Technologies, Shield Capital, Sigma Defense Systems",4,,159
Debt Financing - Xepelin,Xepelin,Debt Financing,"$140,000,000.0",2022-09-09,,,No,Xepelin provides financial services for small and medium-sized business.,"Finance, Financial Services, FinTech, SaaS, Small and Medium Businesses",,www.xepelin.com,"Las Condes, Region Metropolitana, Chile, South America",,"$567,000,000.0",Early Stage Venture,8,Goldman Sachs,Goldman Sachs,1,,160
Series D - Varjo,Varjo,Series D,"$40,000,000.0",2022-09-06,Late Stage Venture,"$146,000,000.0",Yes,"Varjo makes advanced VR/XR hardware and software for industrial use, paving the way for a true-to-life metaverse.","Augmented Reality, Hardware, Software, Virtual Reality, Virtualization",,www.varjo.com/,"Helsinki, Southern Finland, Finland, Europe",$1M to $10M,"$162,528,991.0",Late Stage Venture,9,EQT Ventures,"Atomico, EQT Ventures, Foxconn, Lifeline Ventures, Mirabaud Asset Management, Tesi, Volvo Cars Tech Fund",7,,161
Series E - BigPanda,BigPanda,Series E,"$20,000,000.0",2022-08-17,Late Stage Venture,"$1,180,000,000.0",Yes,"BigPanda offers a platform that helps IT Ops, NOC, and DevOps teams detect, investigate, and resolve IT incidents faster and more easily.","Cloud Infrastructure, Developer Platform, Enterprise Software, Information Technology, SaaS",,bigpanda.io,"Mountain View, California, United States, North America",$10M to $50M,"$337,000,000.0",Late Stage Venture,8,"UBS, Wells Fargo Strategic Capital","UBS, Wells Fargo Strategic Capital",2,,162
Seed Round - Lucidity,Lucidity,Seed,"$5,133,532.920000001",2022-09-08,Seed,,Yes,lucidity provides cloud storage with the highest possible performance at the lowest possible cost without the need for human intervention.,"Cloud Data Services, Computer Vision, Information Technology, Software",,www.lucidity.cloud/,"Bangalore, Karnataka, India, Asia",,"$5,645,256.0",Seed,3,Alpha Wave Global,"Alpha Wave Global, BEENEXT, Blume Ventures, Boldcap Ventures, NuVentures, Sparrow Capital",6,,163
Debt Financing - topi,topi,Debt Financing,"$30,000,000.0",2022-08-31,,,No,topi offers a B2B subscription platform that allows retailers and manufacturers to rent out their equipment to other businesses.,"B2B, FinTech, Hardware, Subscription Service",,www.topi.eu,"Berlin, Berlin, Germany, Europe",,"$49,500,000.0",,3,TriplePoint Capital,TriplePoint Capital,1,,164
Seed Round - Produze,Produze,Seed,"$2,600,000.0",2022-08-09,Seed,,Yes,"Produze enables agricultural farmers to sell directly to worldwide merchants, providing them with consistent quality and reasonable pricing.",Retail,,produze.com,,,"$2,600,000.0",Seed,1,"Accel, All In Capital","Abhishek Sharma, Accel, All In Capital, Angad Kikla, Anilkumar SG, Kartheeswaran K K, Naisheel Verdhan, Ninjacart, Pawan Gupta, Pravin Jadhav, Pushkar Mukewar, Rahul Gill, Ranjith Mukundan, Thirukumaran Nagarajan",14,,165
Series D - EarlySalary,EarlySalary,Series D,"$97,086,376.24800001",2022-08-22,Late Stage Venture,"$169,000,000.0",Yes,EarlySalary.com is a new FinTech start-up in Pune. We are here to help you from being broke.,"Financial Services, FinTech, Personal Finance",,www.earlysalary.com/,"Pune, Maharashtra, India, Asia",,"$130,333,200.0",Late Stage Venture,8,"Norwest Venture Partners, TPG Growth","Norwest Venture Partners, Piramal Capital &amp; Housing Finance, TPG Growth",3,,166
Series A - Superblocks,Superblocks,Series A,"$37,000,000.0",2022-08-11,Early Stage Venture,,Yes,Superblocks is a programmable internal tooling platform for developers.,"Developer Tools, Information Technology, Software",,www.superblocks.com,"New York, New York, United States, North America",,"$37,000,000.0",Early Stage Venture,1,"Greenoaks Capital, Kleiner Perkins, Meritech Capital Partners, Spark Capital","Aaron Levie, Akshay Kothari, Andrew Ofstad, Aneel Bhusri, Apoorva Mehta, Avlok Kohli, Frederic Kerrest, Greenoaks Capital, Howie Liu, James Tamplin, Javier Molina, Jeff Lawson, Jeremy Stoppelman, Kleiner Perkins, Max Mullen, Meritech Capital Partners, Sam Blond, Spark Capital, Taylor Brown, Tom Gonser",20,,167
Series C - Fervo Energy,Fervo Energy,Series C,"$138,000,000.0",2022-08-22,Late Stage Venture,,Yes,Fervo Energy is a developer of proprietary clean energy technology to generate power from enhanced geothermal systems.,"Clean Energy, Energy, Environmental Engineering, Renewable Energy",,www.fervoenergy.com,"Berkeley, California, United States, North America",,"$177,000,000.0",Late Stage Venture,4,DCVC,"3x5 Partners, Breakthrough Energy Ventures, Canada Pension Plan Investment Board, Capricorn Investment Group, Congruent Ventures, DCVC, Elemental Excelerator, Grantham Foundation, Helmerich &amp; Payne, Impact Science Ventures, Liberty Oilfield Services, Macquarie Group, Prelude Ventures",13,,168
Private Equity Round - Drawbridge,Drawbridge,Private Equity,,2022-09-06,Private Equity,,Yes,Drawbridge is a premier cybersecurity software and services firm specializing in the needs of hedge fund and private equity managers.,"Financial Services, Software",,drawbridgepartnersllc.com/,"New York, New York, United States, North America",,,Private Equity,2,Francisco Partners,Francisco Partners,1,,169
Seed Round - Power Life Science,Power Life Science,Seed,"$7,000,000.0",2022-08-30,Seed,,Yes,"Power Life Science is a patient-friendly platform that provides access to clinical trials by condition, location, and drug type.","Clinical Trials, Health Care, Medical, Medical Device",,www.withpower.com/,"San Francisco, California, United States, North America",,"$7,000,000.0",Seed,1,"CRV, Footwork","AirAngels, Artis Ventures (AV), CRV, Footwork, South Park Commons",5,,170
Series A - Happy Health,Happy Health,Series A,"$60,000,000.0",2022-08-24,Early Stage Venture,,Yes,Happy Health is a mission-driven technology company,Health Care,,happyring.com/,"Austin, Texas, United States, North America",,"$60,000,000.0",Early Stage Venture,1,ARCH Venture Partners,ARCH Venture Partners,1,,171
Seed Round - JusticeText,JusticeText,Seed,"$2,200,000.0",2022-09-06,Seed,,Yes,JusticeText is strengthening the ability of public defenders to analyze this crucial data with our evidence management software.,"Audio, Software, Video","Women Founded, Women Led",justicetext.com/,"Irvine, California, United States, North America",,"$2,320,000.0",Seed,4,,"Aston Motes, Bloomberg Beta, Dorothy Chou, Google for Startups, Higher Ground Labs, Incite.org, John Legend, Michael Tubbs, MIT Solve, Parameter Ventures, Reid Hoffman, True Ventures, Tubbs Ventures",13,,172
Series B - TeamApt,TeamApt,Series B,"$50,000,000.0",2022-08-10,Early Stage Venture,,Yes,TeamApt is a financial technology company that develops digital banking and payment platform for financial transactions.,"Banking, Financial Services, FinTech, Payments",,teamapt.com/,"Lekki, Lagos, Nigeria, Africa",,"$85,500,000.0",Early Stage Venture,4,"Novastar Ventures, QED Investors","Bossanova Investimentos, Lightrock, Novastar Ventures, QED Investors",4,,173
Seed Round - Convertedin,Convertedin,Seed,"$3,000,000.0",2022-08-10,Seed,,Yes,Convertedin is an ad automation platform for ecommerce businesses using AI.,"Analytics, Artificial Intelligence, E-Commerce, Retail, SaaS",,www.converted.in,"New Castle, Delaware, United States, North America",,"$3,000,000.0",Seed,4,Merak Capital,"500 Startups, Merak Capital, MSAS",3,,174
Series C - OneSignal,OneSignal,Series C,"$50,000,000.0",2022-09-01,Late Stage Venture,,Yes,OneSignal is a customer messaging and engagement platform that allows businesses to create meaningful customer connections.,"Digital Marketing, Marketing Automation, Messaging, SaaS, Software",,onesignal.com,"San Mateo, California, United States, North America",$1M to $10M,"$82,000,000.0",Late Stage Venture,5,BAM Elevate,"BAM Elevate, Nimble Partners, SignalFire, Zach Coelius",4,,175
Debt Financing - Muse Finance,Muse Finance,Debt Financing,"$19,479,625.1",2022-08-23,,,No,Muse Finance offers creative and affordable financing options to help business owners succeed and have a good impact.,"Financial Exchanges, Financial Services, FinTech",,getmymuse.com/,"London, England, United Kingdom, Europe",,"$21,941,895.547052",Seed,5,,,,,176
Series B - Elephas,Elephas,Series B,"$41,500,000.0",2022-09-06,Early Stage Venture,,Yes,A live tumor imaging diagnostics company,"Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Life Science, Medical, Medical Device",,elephas.com/,"Madison, Wisconsin, United States, North America",,"$68,500,000.0",Early Stage Venture,4,ARCH Venture Partners,"ARCH Venture Partners, Moore Strategic Ventures, Northpond Ventures, Sands Capital Ventures, Tao Capital Partners, WARF Ventures",6,,177
Series B - AdvanCell,AdvanCell,Series B,"$12,056,455.620000001",2022-08-23,Early Stage Venture,,Yes,"AdvanCell is radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment.","Biotechnology, Clinical Trials, Pharmaceutical",,advancell.com.au/,"Sydney, New South Wales, Australia, Oceania",,"$14,557,610.0",Early Stage Venture,2,Morningside Venture Investments,Morningside Venture Investments,1,,178
Series A - Protex AI,Protex AI,Series A,"$18,089,820.017",2022-08-28,Early Stage Venture,,Yes,Protex AI develops an AI-powered proactive health and safety technology that enables an injury-free industrial workplace.,"Artificial Intelligence, Computer Vision, Health Care, Industrial, Machine Learning, Public Safety",,www.protex.ai,"San Francisco, California, United States, North America",,"$18,110,147.0",Early Stage Venture,2,Notion Capital,"CircleRock Capital, Elkstone Capital Partners, Firstminute Capital, Flexport, Notion Capital, Playfair Capital, SCOR Global P&amp;C Ventures",7,,179
Series B - Awign Enterprises,Awign Enterprises,Series B,"$15,000,000.0",2022-08-25,Early Stage Venture,,Yes,Awign is a work fulfillment platform that specializes in the gig workforce and provides last-mile delivery services.,"Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing",,www.awign.com,"Bengaluru, Karnataka, India, Asia",$1M to $10M,"$20,463,025.0",Early Stage Venture,6,"Amicus Capital Partners, Bertelsmann India Investments","Amicus Capital Partners, Bertelsmann India Investments, Michael &amp; Susan Dell Foundation, Mynavi, Unitus Ventures",5,,180
Seed Round - Remento,Remento,Seed,"$3,000,000.0",2022-09-07,Seed,,Yes,Remento helps people capture family stories in a new and unique way.,"Apps, Internet, Software",,www.remento.co,"Los Angeles, California, United States, North America",,"$3,000,000.0",Seed,1,Upfront Ventures,"Alumni Ventures, Brooke Hammerling, Chuck Davis, Dan Nova, Deck Point Capital, Eli Portnoy, Emmy Rossum, Flybridge, Jack Brody, Jake Poses, Sam Esmail, Sarah Harden, Upfront Ventures",13,,181
Series D - Xeneta,Xeneta,Series D,"$80,000,000.0",2022-09-13,Late Stage Venture,"$185,000,000.0",Yes,Xeneta is an ocean freight rate benchmarking and market intelligence platform and index.,"Analytics, Enterprise Software, Logistics, SaaS, Shipping",,www.xeneta.com,"Oslo, Oslo, Norway, Europe",$1M to $10M,"$137,185,332.0",Late Stage Venture,7,Apax Digital,"Apax Digital, Lugard Road Capital",2,,182
Seed Round - Koolboks,Koolboks,Seed,"$2,500,000.0",2022-08-18,Seed,,Yes,Koolboks provides a storage technique due to the superior insulation and ice battery technology employed in the design.,"Battery, Energy Storage",,www.koolboks.com,"Rosny-sous-bois, Ile-de-France, France, Europe",,"$4,150,000.0",Seed,2,Aruwa Capital,"Acumen, All On, Aruwa Capital, Blue Earth Capital, GSMA Ecosystem Accelerator",5,,183
Seed Round - Zywa (YC W22),Zywa (YC W22),Seed,"$3,000,000.0",2022-08-23,Seed,"$27,000,000.0",Yes,Zywa is the first neobank for teenagers in the Middle East and North Africa region,"Finance, Financial Services, FinTech, Mobile",,www.zywa.co/,"Dubai, Dubai, United Arab Emirates, Asia",,"$4,000,000.0",Seed,2,,"Dubai Future District Fund, Goodwater Capital, Rebel Fund, Trampoline Ventures, ZEMU Venture Capital",5,,184
Seed Round - Sprocket Games,Sprocket Games,Seed,"$5,000,000.0",2022-08-31,Seed,,Yes,"Sprocket Games is game development studio launching a cross-platform, social adventure game.","Console Games, MMO Games, Online Games, PC Games, Software, Video Games",,sprocket.games/,"Santa Monica, California, United States, North America",,"$5,000,000.0",Seed,1,BITKRAFT Ventures,"1Up Ventures, BITKRAFT Ventures, Gaingels, Substrate Capital",4,,185
Seed Round - NowNow,NowNow,Seed,"$13,000,000.0",2022-09-07,Seed,,Yes,"NowNow is a digital banking platform whose mission is to deliver best in class financial services for Agents, Consumers and Businesses.","FinTech, Mobile Payments",,nownow.ng,"Ilupeju, Ekiti, Nigeria, Africa",Less than $1M,"$13,000,000.0",Seed,1,"Capital V, DLF Family Office, Shadi Abdulhadi","Capital V, DLF Family Office, Shadi Abdulhadi",3,,186
Seed Round - Tortoise,Tortoise,Seed,,2022-09-01,Seed,,Yes,An app to save up for your wishlist,,,tortoise.pro/,"Bangalore, Karnataka, India, Asia",,"$2,800,000.0",Seed,3,,"Lizzie Chapman, Sriharsha Majety",2,,187
Seed Round - Trek Health,Trek Health,Seed,"$2,700,000.0",2022-09-09,Seed,,Yes,Trek Health builds foundational software that empowers mental health providers.,"Health Care, Information Technology, Software",,www.trekhealth.io,"San Mateo, California, United States, North America",,"$2,700,000.0",Seed,1,Lionheart Ventures,"Aaron King, Clarence So, Founder Collective, Frederic Kerrest, Jack Altman, Lionheart Ventures, Matt Brezina, Max Altman, Rich Menendez",9,,188
Pre Seed Round - Carzami,Carzami,Pre-Seed,,2022-09-04,Seed,,Yes,Carzami is an online platform that solves the hectic process of buying and selling used cars from the comfort of your homes.,Automotive,,carzami.com/,"Cairo, Al Qahirah, Egypt, Africa",,,Seed,1,Contact,Contact,1,,189
Venture Round - True Food Kitchen,True Food Kitchen,Venture - Series Unknown,"$100,000,000.0",2022-09-08,,,Yes,True Food Kitchen is a 42-unit restaurant and lifestyle brand serving foods crafted to nutritional standards.,"Food and Beverage, Nutrition, Restaurants",Women Led,truefoodkitchen.com/,"Phoenix, Arizona, United States, North America",$10M to $50M,"$100,000,000.0",,2,"HumanCo, Manna Tree","Centerbridge Partners LP, HumanCo, Manna Tree",3,,190
Series A - PeakData,PeakData,Series A,"$12,477,199.200000001",2022-08-22,Early Stage Venture,,Yes,PeakData is a software platform to identify and analyze key opinion leaders in your therapeutic area.,"Artificial Intelligence, Machine Learning, Pharmaceutical, Software",,peakdata.com/,"Zug, Zug, Switzerland, Europe",,"$12,785,640.0",Early Stage Venture,3,AlbionVC,"AlbionVC, Heal Capital, Octopus Ventures",3,,191
Series A - Jungle AI,Jungle AI,Series A,"$4,997,187.85",2022-09-05,Early Stage Venture,,Yes,Jungle builds scalable AI technology to help people improve the operations of their renewable energy sources.,"Artificial Intelligence, Energy, Machine Learning",,jungle.ai/,"Lisbon, Lisboa, Portugal, Europe",,"$4,997,187.85",Early Stage Venture,1,SHIFT Invest,"EDP Ventures, Future Energy Ventures, Gorilla Capital, Rock International Group, SHIFT Invest",5,,192
Seed Round - RedStone,RedStone,Seed,"$6,896,119.233",2022-08-30,Seed,,Yes,RedStone is a next-generation cross-chain data oracle providing pricing data for financial protocols.,"Blockchain, Financial Services",,redstone.finance/,,,"$7,441,212.0",Seed,2,Lemniscap,"Arweave, Bering Waters Ventures, Blockchain Capital, Coinbase Ventures, Distributed Global, Lattice Ventures, Lemniscap, Maven 11 Capital, SevenX Ventures",9,,193
Post-IPO Secondary - Yoox Net-a-Porter Group,Yoox Net-a-Porter Group,Post-IPO Secondary,"$2,698,481,439.0",2022-08-24,,"$2,623,967,157.65144",No,Yoox Net-a-Porter Group is the global Internet retailing partner for leading fashion and luxury brands.,"Fashion, Lifestyle, Retail",,www.ynap.com/,"London, England, United Kingdom, Europe",$1B to $10B,"$2,809,987,655.0",IPO,6,Farfetch,"Farfetch, Symphony Global",2,,194
Series A - Gokomodo,Gokomodo,Series A,"$26,000,000.0",2022-09-06,Early Stage Venture,,Yes,Gokomodo is a supply Chain Platform and Services for Agribusiness and Commodities.,"Consulting, Information Technology, Supply Chain Management",,gokomodo.com/,"Kedoya Selatan, Jakarta Raya, Indonesia, Asia",,"$26,000,000.0",Early Stage Venture,1,East Ventures,"Caroline ID, East Ventures, Eight Capital, Indogen Capital, K3 Ventures, Sahabat Group, Sampoerna Strategic, SMDV, waresix",9,,195
Debt Financing - Exoticca,Exoticca,Debt Financing,"$19,988,751.4",2022-09-09,,,No,Exoticca develops an online booking platform intended to facilitate travel tour package deals.,"Adventure Travel, Information Technology, Reservations, Travel",,www.exoticca.com,"Barcelona, Catalonia, Spain, Europe",Less than $1M,"$97,436,503.0",Late Stage Venture,8,"Claret Capital Partners, Sabadell Venture Capital","Claret Capital Partners, Sabadell Venture Capital",2,,196
Seed Round - Deposits.com,Deposits.com,Seed,"$5,000,000.0",2022-08-23,Seed,,Yes,"We are The Financial Experience Company. We work with FIs, Employers, and Fintechs to delight customers and make money more awesome.","Financial Services, FinTech",,deposits.com/,"Dallas, Texas, United States, North America",,"$5,000,000.0",Seed,1,ATX Venture Partners,"ATX Venture Partners, Cabal, Lightspeed Venture Partners",3,,197
Series A - KeyCare,KeyCare,Series A,"$24,000,000.0",2022-08-17,Early Stage Venture,,Yes,KeyCare is a virtual care platform powered by Epic created to support progressive health systems.,"Health Care, Hospital",,www.keycare.org,"Chicago, Illinois, United States, North America",,"$24,000,000.0",Early Stage Venture,1,8VC,"8VC, Bold Capital Partners, LRVHealth, Spectrum Health Ventures",4,,198
Seed Round - Metaverse Magna,Metaverse Magna,Seed,"$3,200,000.0",2022-09-05,Seed,"$26,800,000.0",Yes,Metaverse Magna is a blockchain gaming platform that is maximizing value across the gaming ecosystem.,"Blockchain, Gaming",,mvm.gg,"Lagos, Lagos, Nigeria, Africa",,"$3,200,000.0",Seed,1,Wemade,"AFF, Casper Johansen, gumi Cryptos Capital (gCC), Hashkey, IndiGG, LD Capital, Polygon Studios, Taureon, Tess Ventures, Wemade",10,,199
Series A - Wombat,Wombat,Series A,"$4,583,441.2",2022-08-23,Early Stage Venture,,Yes,"Wombat is a curated fractional thematic investment platform that allows people to invest in the brands they understand, use and love.","Financial Services, Impact Investing, Internet",,www.wombatinvest.com/,"London, England, United Kingdom, Europe",,"$12,568,436.306307701",Early Stage Venture,6,Fuel Ventures,Fuel Ventures,1,,200
Series C - Senda Biosciences,Senda Biosciences,Series C,"$123,000,000.0",2022-08-16,Late Stage Venture,,Yes,Senda Biosciences is a therapeutics platform company leveraging unprecedented insights into the molecular connections between humans.,"Biotechnology, Health Care, Life Science",,www.sendabiosciences.com/,"Cambridge, Massachusetts, United States, North America",$100M to $500M,"$309,000,000.0",Late Stage Venture,3,Flagship Pioneering,"Alexandria Venture Investments, Bluwave Capital, Flagship Pioneering, Ischyros New York, Longevity Vision Fund, Mayo Clinic, Partners Investment, Qatar Investment Authority, Samsung Life Science Fund, Stage 1 Ventures, State of Michigan Retirement System",11,,201
Debt Financing - Capital on Tap,Capital on Tap,Debt Financing,"$229,172,060.0",2022-08-24,,,No,Capital on Tap is a fintech company that provides small businesses with credit cards and a spend management platform.,"Credit Cards, Finance, Financial Services, FinTech",,www.capitalontap.com,"London, England, United Kingdom, Europe",,"$1,327,974,544.0",Private Equity,5,,"JP Morgan, Triple Point Ventures",2,,202
Series C - Carbyne,Carbyne,Series C,"$56,000,000.0",2022-09-07,Late Stage Venture,,Yes,Carbyne is a real-time emergency communication platform that provides public safety technology for emergency infrastructure.,"Communications Infrastructure, Contact Management, Customer Service, Information and Communications Technology (ICT), Information Technology, Public Safety, Unified Communications",,www.carbyne.com,"New York, New York, United States, North America",$10M to $50M,"$126,250,000.0",Late Stage Venture,6,"Cox Enterprises, Hanaco Venture Capital","Cox Enterprises, David Petraeus, Elsted Capital Partners, FinTLV Ventures, Founders Fund, General Global Capital, Hanaco Venture Capital, Sandiip Bhammer, TalC, Valor Equity Partners",10,,203
Series A - Winuall,Winuall,Series A,"$2,128,538.04",2022-08-23,Early Stage Venture,,Yes,"Winuall is a teaching platform that creates online courses for schools, tutors, and content creators.","Content Creators, E-Learning, EdTech, Education",,www.winuall.com,"Bangalore, Karnataka, India, Asia",,"$4,128,823.0",Early Stage Venture,5,"Dream Incubator, Prime Venture Partners","Akash Gehani, Amit Lakhotia, Ankit Bhati, BEENEXT, Dream Incubator, Inflection Point Ventures, Prime Venture Partners, Ramakant Sharma",8,,204
Seed Round - Mermade Seafoods,Mermade Seafoods,Seed,"$3,300,000.0",2022-06-01,Seed,,Yes,"Mermade an Israeli company that grows oysters from cells in a lab, says it can mitigate the sticky shock by using technology.","Biotechnology, CleanTech, Food and Beverage, GreenTech",,mermadefoods.com,"Jerusalem, Yerushalayim, Israel, Asia",,"$4,800,000.0",Seed,2,OurCrowd,"Fall Line Capital, OurCrowd, Sake Bosch",3,,205
Venture Round - Gunzilla Games,Gunzilla Games,Venture - Series Unknown,"$44,874,746.893",2022-08-09,,,Yes,"Gunzilla Games is an independent, innovative, and player-focused developer of AAA games.","Console Games, Gaming, PC Games, Video Games",,gunzillagames.com/,"Frankfurt, Hessen, Germany, Europe",,"$70,835,035.0",,4,Republic capital,"AlphaCrypto Capital, Blizzard Fund, CoinFund, Digital Strategies, Dominance Ventures, Gamegroove Capital, Griffin Gaming Partners, GSR Ventures, Huobi Capital, Jump Crypto, Justin Kan, KuCoin Labs, Morningstar Ventures, NGG, Raptor Group, Republic capital, Shima Capital, Spartan",18,,206
Seed Round - Kula,Kula,Seed,"$12,000,000.0",2022-08-30,Seed,,Yes,Kula is a recruitment automation platform built to enable hyper-growth companies to build massive talent pipelines on autopilot.,"Human Resources, Information Technology, Recruiting, Software",,www.kula.ai/,"Walnut, California, United States, North America",,"$14,700,000.0",Seed,2,"Sequoia Capital India, Square Peg Capital","Sequoia Capital India, Square Peg Capital, Together Fund, Venture Highway",4,,207
Venture Round - Lightyear,Lightyear,Venture - Series Unknown,"$80,954,443.17",2022-09-06,,,Yes,Lightyear is a tech company that develops scalable grid-independent solar electric vehicles.,"Automotive, Electric Vehicle, Energy, Manufacturing, Solar",,www.lightyear.one,"Helmond, Noord-Brabant, The Netherlands, Europe",$1M to $10M,"$184,407,127.0",,8,Invest-NL,"DELA, Invest-NL, SHV Holdings",3,,208
