Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
Manufacturing Companies With More Than $10M in Revenue (Top 10K),"9,665",988,43,69,"The top 10,000 companies and startups in the manufacturing space with more than $10m in revenue, by Crunchbase rank.",2022-09-15 10:57:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$10M to $50M,"4,780","1,854",1970-03-27,8,"9,488",0%,11%,"1,271",2002-07-14,1%,"Private Equity,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Post-IPO Equity,&nbsp;Debt Financing","4,386",1,"$415,700,722,359.0","$7,029,422.0","$185,290,876,971.0",1970-03-27,"$55,444,200,292.0","$125,000,000.0","$198,969,588,476.0","$823,000,000.0",12%,"1,419","7,590","$651,387,486,745.0","$486,875,000.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Co-Working Space,&nbsp;Family Investment Office","2,401","2,825",2,"1,064",1,625,1,19,"$4,133,697,079.0","4,568",2,4,"260,418.69",1.24,1.24,2.27
Great Lakes Companies With Less Than $1B in Revenue (Top 10K),"9,741",986,691,70,"The top 10,000 companies and startups in Great Lakes with less than $1b in revenue, by Crunchbase rank.",2022-09-15 12:54:00,"Active, Company, Location, Revenue Range",,,,,"Great Lakes, North America",Regional Area,,,,,,,$500M to $1B,"16,686","5,969",1997-12-07,121,"9,164",1%,6%,740,2009-02-07,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Private Equity","16,475",2,"$192,360,473,197.0","$2,396,883.0","$132,497,689,965.0",1997-12-07,"$35,674,998,019.0","$93,300,000.0","$166,941,827,662.0","$612,708,000.0",17%,"1,886","5,725","$303,558,126,531.0","$275,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Incubator","12,360","16,689",4,"5,085",3,"3,145",3,629,"$231,945,205,258.0","12,093",12,20,"135,661.42",0.74,0.74,1.23
Great Lakes Companies With Less Than $500M in Revenue (Top 10K),"9,557",981,662,71,"The top 10,000 companies and startups in Great Lakes with less than $500m in revenue, by Crunchbase rank.",2022-09-15 11:22:00,"Active, Company, Location, Revenue Range",,,,,"Great Lakes, North America",Regional Area,,,,,,,$100M to $500M,"16,468","5,907",1998-08-02,116,"8,985",1%,6%,646,2010-04-13,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Private Equity","16,313",2,"$178,318,157,831.0","$2,362,318.0","$127,008,774,617.0",1998-08-02,"$26,868,313,339.0","$78,200,000.0","$120,628,219,722.0","$376,500,000.0",16%,"1,777","4,715","$222,147,214,834.0","$230,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Incubator","12,011","16,290",5,"5,002",4,"3,033",4,622,"$230,338,715,258.0","11,903",11,19,"135,846.2",0.74,0.74,1.24
East Coast Companies With Fewer Than 100 Employees (Top 10K),"9,951",983,"2,060",72,"The top 10,000 companies and startups in East Coast with fewer than 100 employees, by Crunchbase rank.",2022-09-15 09:47:00,"Active, Company, Employee Range, Location",,,,,"East Coast, United States, North America",Regional Area,,,,,,,,"45,021","12,156",2013-10-24,44,"9,179",0%,5%,534,2013-06-05,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Pre-Seed","30,225",2,"$241,937,714,030.0","$5,770,811.0","$196,483,759,598.0",2013-10-24,"$20,124,695,044.0","$63,950,000.0","$70,980,165,673.0","$325,725,500.0",11%,"1,166","1,897","$110,982,558,248.0","$120,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","17,598","25,120",20,"6,823",10,"4,423",8,676,"$213,231,349,584.0","18,610",4,6,"43,414.02",0.77,0.77,1.22
Industrial Companies With Less Than $1B in Revenue (Top 10K),"9,873","1,002",18,73,"The top 10,000 companies and startups in the industrial space with less than $1b in revenue, by Crunchbase rank.",2022-09-15 09:18:00,"Active, Industry, Company, Revenue Range",,,Industrial,Manufacturing,,,,,,,,,$500M to $1B,"2,067",827,1976-09-02,20,"9,744",0%,4%,441,2005-03-07,0%,"Grant,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Post-IPO Equity","2,084",1,"$40,205,434,371.0","$1,482,807.0","$24,444,264,328.0",1976-09-02,"$7,376,957,704.0","$134,500,000.0","$24,766,355,167.0","$741,000,000.0",3%,302,943,"$124,945,071,935.0","$277,500,000.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Micro VC",370,479,2,181,2,80,2,28,"$16,433,001,919.0","2,036",0,0,"599,025.24",1.78,1.78,2.88
Venture Capital Investors with Investments in Western US,"8,140",821,786,74,Venture capital investors that made investments in companies headquartered in Western US.,2022-09-15 11:27:00,"Active, Investments in Location, Investor Type",,,,,"Western US, United States, North America",Regional Area,,,,,,,,"1,310",315,2007-12-10,15,"1,037",0%,2%,169,2003-10-02,0%,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",924,1,"$53,813,156,190.0","$210,000.0","$24,406,368,656.0",2007-12-10,"$36,067,956,541.0","$136,000,000.0","$207,966,419,034.0","$937,500,000.0",1%,58,"2,301","$35,120,878,500.0","$1,451,996,790.0","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","229,689","323,133",12,"88,938",4,"53,116",3,"8,504","$1,804,194,046,971.0","9,365",11,22,"336,525.78",0.75,0.75,0.75
Industrial Companies With Less Than $500M in Revenue (Top 10K),"9,889",988,18,74,"The top 10,000 companies and startups in the industrial space with less than $500m in revenue, by Crunchbase rank.",2022-09-15 09:20:00,"Active, Industry, Company, Revenue Range",,,Industrial,Manufacturing,,,,,,,,,$100M to $500M,"2,021",802,1976-12-21,20,"9,758",0%,4%,392,2006-01-30,0%,"Grant,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Post-IPO Equity","2,019",1,"$28,781,306,173.0","$1,446,211.0","$18,240,136,387.0",1976-12-21,"$6,094,457,704.0","$116,500,000.0","$23,392,355,167.0","$802,000,000.0",3%,283,665,"$116,253,295,318.0","$226,090,317.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Micro VC",334,440,2,156,2,71,2,24,"$5,935,190,000.0","2,006",0,0,"606,865.56",1.78,1.78,2.88
Industrial Companies With More Than 10 Employees (Top 10K),"9,844",993,26,75,"The top 10,000 companies and startups in the industrial space with more than 10 employees, by Crunchbase rank.",2022-09-15 10:43:00,"Active, Industry, Company, Employee Range",,,Industrial,Manufacturing,,,,,,,,,,"3,706","1,356",1975-10-29,23,"9,578",0%,8%,838,2003-11-26,0%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Post-IPO Equity","3,196",1,"$98,729,826,769.0","$2,297,649.0","$50,294,828,864.0",1975-10-29,"$23,241,841,275.0","$139,000,000.0","$58,768,139,735.0","$741,000,000.0",7%,834,"3,034","$385,157,644,284.0","$299,544,762.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Incubator,&nbsp;Investment Bank",803,965,2,345,1,194,2,38,"$17,745,429,296.0","2,834",0,1,"470,711.54",1.55,1.55,2.58
Real Estate Companies With Less Than $1B in Revenue (Top 10K),"9,830",995,61,76,"The top 10,000 companies and startups in the real estate space with less than $1b in revenue, by Crunchbase rank.",2022-09-15 10:06:00,"Active, Industry, Company, Revenue Range",,,Real Estate,Real Estate,,,,,,,,,$500M to $1B,"6,066","1,793",1992-10-09,94,"9,456",1%,3%,357,2007-11-24,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Private Equity","4,488",2,"$156,203,235,359.0","$2,292,905.0","$77,299,371,190.0",1992-10-09,"$15,644,882,433.0","$158,865,000.0","$58,204,211,071.0","$1,735,410,910.0",5%,566,"1,431","$107,676,388,936.0","$385,000,000.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Family Investment Office,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","1,934","2,475",2,739,1,497,2,231,"$263,354,558,923.0","5,624",0,1,"363,958.71",1.45,1.45,2.29
Venture Capital Investors with Investments in West Coast,"7,730",830,672,77,Venture capital investors that made investments in companies headquartered in West Coast.,2022-09-15 11:37:00,"Active, Investments in Location, Investor Type",,,,,"West Coast, United States, North America",Regional Area,,,,,,,,"1,279",299,2007-12-12,14,991,0%,2%,163,2003-08-12,0%,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",885,1,"$52,614,771,567.0","$125,000.0","$23,430,417,676.0",2007-12-12,"$36,067,956,541.0","$136,000,000.0","$207,966,419,034.0","$937,500,000.0",1%,58,"2,218","$35,120,878,500.0","$1,451,996,790.0","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","226,470","319,077",13,"87,299",5,"52,460",3,"8,325","$1,784,753,230,865.0","9,070",11,21,"325,049.47",0.75,0.75,0.76
Real Estate Companies With Less Than $500M in Revenue (Top 10K),"9,941",927,61,77,"The top 10,000 companies and startups in the real estate space with less than $500m in revenue, by Crunchbase rank.",2022-09-15 11:32:00,"Active, Industry, Company, Revenue Range",,,Real Estate,Real Estate,,,,,,,,,$100M to $500M,"5,998","1,759",1992-12-31,92,"9,566",1%,3%,308,2007-11-04,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Private Equity","4,405",2,"$134,683,467,673.0","$2,199,275.0","$68,972,239,940.0",1992-12-31,"$12,477,888,812.0","$167,730,000.0","$40,697,339,155.0","$1,735,410,910.0",5%,551,"1,233","$84,219,388,936.0","$267,000,000.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Family Investment Office,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","1,795","2,306",2,662,1,455,2,198,"$179,582,509,910.0","5,596",0,1,"371,044.64",1.46,1.46,2.3
Private Western US Companies (Top 10K),"9,840",984,"3,720",78,"The top 10,000 private companies and startups in Western US, by Crunchbase rank.",2022-09-15 10:36:00,"Active, Company, Location",,,,,"Western US, United States, North America",Regional Area,,,,,,,,"78,494","19,372",2014-01-15,47,"9,101",0%,,0,,,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","35,883",3,"$694,246,801,168.0","$17,109,345.0","$607,382,015,074.0",2014-01-15,,,,,13%,"1,423","2,983","$219,137,473,399.0","$273,750,000.0","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital","48,280","70,862",7,"17,274",8,"11,820",7,"1,066","$400,763,458,141.0","20,997","1,271","2,840","21,319.37",0.95,0.95,1.52
Western US Companies (Top 10K),"9,936",995,"3,865",79,"The top 10,000 companies and startups in Western US, by Crunchbase rank.",2022-09-15 09:45:00,"Active, Company, Location",,,,,"Western US, United States, North America",Regional Area,,,,,,,,"82,666","20,810",2012-12-27,41,"9,253",0%,9%,987,2013-12-23,1%,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","39,004",3,"$1,366,578,965,629.0","$22,141,467.0","$895,305,891,076.0",2012-12-27,"$213,310,403,375.0","$144,320,000.0","$1,590,606,466,964.0","$1,006,333,333.0",13%,"1,471","7,617","$639,396,134,128.0","$397,500,000.0","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital","46,220","66,453",4,"16,227",4,"11,069",3,"1,000","$422,489,208,543.0","21,203","1,079","2,340","18,766.93",0.99,0.99,1.57
Midwestern US Companies With Less Than $1B in Revenue (Top 10K),"9,831",916,503,80,"The top 10,000 companies and startups in Midwestern US with less than $1b in revenue, by Crunchbase rank.",2022-09-15 12:56:00,"Active, Company, Location, Revenue Range",,,,,"Midwestern US, United States, North America",Regional Area,,,,,,,$500M to $1B,"11,652","4,217",1993-09-14,165,"9,203",2%,3%,348,2006-06-29,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","11,673",2,"$110,976,883,110.0","$1,989,339.0","$77,061,526,439.0",1993-09-14,"$28,049,705,913.0","$94,250,000.0","$126,609,473,265.0","$576,060,369.0",15%,"1,646","4,500","$281,018,801,862.0","$290,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","8,051","11,273",3,"3,462",4,"2,021",3,534,"$171,986,300,244.0","10,166",11,22,"173,852.61",0.92,0.92,1.56
Venture Capital Investors with Investments in California,"7,436",811,627,80,Venture capital investors that made investments in companies headquartered in California.,2022-09-15 11:11:00,"Active, Investments in Location, Investor Type",,,,,"California, United States, North America",State/Region,,,,,,,,"1,219",290,2007-11-30,13,958,0%,2%,158,2003-06-21,0%,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",864,1,"$52,520,455,185.0","$127,105.0","$23,336,101,294.0",2007-11-30,"$35,687,956,541.0","$127,000,000.0","$206,166,419,034.0","$915,750,000.0",1%,55,"2,168","$30,420,878,500.0","$1,257,188,083.0","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","224,400","316,616",13,"86,520",5,"52,061",3,"8,237","$1,780,724,744,328.0","8,822",11,20,"319,091.19",0.75,0.75,0.76
Midwestern US Companies With Fewer Than 1000 Employees (Top 10K),"9,838",965,537,81,"The top 10,000 companies and startups in Midwestern US with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 09:55:00,"Active, Company, Employee Range, Location",,,,,"Midwestern US, United States, North America",Regional Area,,,,,,,,"15,218","5,719",2000-03-04,209,"8,858",2%,3%,349,2008-02-12,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Private Equity","15,323",2,"$120,956,326,102.0","$1,474,224.0","$86,021,045,217.0",2000-03-04,"$21,440,933,908.0","$85,250,000.0","$64,321,466,648.0","$332,800,000.0",16%,"1,871","3,751","$219,499,589,959.0","$200,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","9,422","12,960",5,"4,104",5,"2,220",4,575,"$176,146,095,270.0","12,071",9,17,"130,195.27",0.76,0.76,1.31
Midwestern US Companies With Less Than $500M in Revenue (Top 10K),"9,657",964,479,82,"The top 10,000 companies and startups in Midwestern US with less than $500m in revenue, by Crunchbase rank.",2022-09-15 12:48:00,"Active, Company, Location, Revenue Range",,,,,"Midwestern US, United States, North America",Regional Area,,,,,,,$100M to $500M,"11,565","4,183",1994-05-16,154,"9,045",2%,2%,277,2008-01-06,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","11,568",2,"$101,469,048,195.0","$1,983,059.0","$74,460,199,892.0",1994-05-16,"$21,028,071,233.0","$86,250,000.0","$93,775,555,667.0","$379,000,000.0",14%,"1,555","3,723","$196,085,525,245.0","$246,500,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","7,829","11,002",3,"3,368",4,"1,943",3,524,"$166,594,600,244.0","10,019",11,22,"174,241.29",0.93,0.93,1.57
Private Midwestern US Companies (Top 10K),"9,967",981,574,83,"The top 10,000 private companies and startups in Midwestern US, by Crunchbase rank.",2022-09-15 09:58:00,"Active, Company, Location",,,,,"Midwestern US, United States, North America",Regional Area,,,,,,,,"15,327","5,925",1997-11-14,238,"8,741",2%,,0,,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Private Equity","15,201",1,"$128,972,199,258.0","$1,346,096.0","$90,985,728,537.0",1997-11-14,,,,,17%,"1,997","4,663","$400,403,265,263.0","$300,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","10,393","13,992",4,"4,691",4,"2,310",3,590,"$182,341,295,175.0","12,141",441,"1,088","122,974.42",0.73,0.73,1.31
Southern US Manufacturing Companies (Top 10K),"9,874","1,020",13,84,"The top 10,000 companies and startups in Southern US in the manufacturing space, by Crunchbase rank.",2022-09-15 10:44:00,"Active, Industry, Company, Location",,,Manufacturing,Manufacturing,"Southern US, United States, North America",Regional Area,,,,,,,,"1,932",780,1981-06-12,17,"9,449",0%,2%,247,2002-05-03,1%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","2,536",1,"$73,074,574,801.0","$896,104.0","$25,437,182,871.0",1981-06-12,"$14,261,979,217.0","$110,400,000.0","$31,636,627,715.0","$860,100,000.0",13%,"1,501","1,801","$319,048,883,123.0","$221,400,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Entrepreneurship Program,&nbsp;Hedge Fund",200,218,1,87,1,52,1,3,"$491,299,985.0","2,765",0,1,"450,729.28",1.55,1.55,2.57
Midwestern US Companies (Top 10K),"9,430",988,601,85,"The top 10,000 companies and startups in Midwestern US, by Crunchbase rank.",2022-09-15 10:02:00,"Active, Company, Location",,,,,"Midwestern US, United States, North America",Regional Area,,,,,,,,"15,912","6,087",1996-09-16,215,"8,315",2%,6%,763,2002-09-07,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Private Equity","15,973",2,"$239,025,659,705.0","$1,673,314.0","$145,189,354,338.0",1996-09-16,"$76,519,768,569.0","$126,000,000.0","$288,592,595,626.0","$635,000,000.0",17%,"1,932","9,497","$912,741,414,057.0","$460,500,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","11,092","14,799",3,"4,988",3,"2,616",2,602,"$242,708,939,862.0","11,958",441,"1,088","109,009.21",0.71,0.71,1.25
Private Great Lakes Companies (Top 10K),"9,814",968,808,86,"The top 10,000 private companies and startups in Great Lakes, by Crunchbase rank.",2022-09-15 10:02:00,"Active, Company, Location",,,,,"Great Lakes, North America",Regional Area,,,,,,,,"23,169","8,051",2004-05-07,198,"8,710",2%,,0,,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Debt Financing","20,841",2,"$181,114,834,656.0","$1,872,592.0","$126,972,219,477.0",2004-05-07,,,,,14%,"1,655","4,432","$268,735,760,754.0","$251,528,603.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Incubator","14,320","18,840",6,"5,995",5,"3,214",4,614,"$201,514,471,683.0","14,265","1,045","2,594","89,383.97",0.66,0.66,1.12
Real Estate Companies With Less Than $50M in Revenue (Top 10K),"9,767",974,60,87,"The top 10,000 companies and startups in the real estate space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 12:06:00,"Active, Industry, Company, Revenue Range",,,Real Estate,Real Estate,,,,,,,,,$10M to $50M,"5,517","1,569",1994-08-30,85,"9,420",1%,1%,136,2008-07-31,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Private Equity","4,037",2,"$66,285,764,777.0","$1,835,590.0","$36,420,796,471.0",1994-08-30,"$2,390,451,023.0","$77,750,000.0","$9,330,561,062.0","$161,597,974.0",4%,431,748,"$32,795,466,594.0","$134,460,402.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Family Investment Office,&nbsp;Micro VC,&nbsp;Investment Bank","1,485","1,927",1,579,1,356,3,182,"$159,717,916,339.0","5,256",0,0,"407,670.74",1.52,1.52,2.36
Industrial Companies With Less Than $50M in Revenue (Top 10K),"8,994",985,18,88,"The top 10,000 companies and startups in the industrial space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 12:53:00,"Active, Industry, Company, Revenue Range",,,Industrial,Manufacturing,,,,,,,,,$10M to $50M,"1,850",725,1979-01-03,19,"8,880",0%,2%,203,2008-01-23,0%,"Grant,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A","1,853",1,"$22,045,803,703.0","$1,368,555.0","$12,714,919,852.0",1979-01-03,"$2,752,163,755.0","$119,000,000.0","$12,246,464,837.0","$399,537,264.0",2%,202,357,"$92,177,964,419.0","$160,000,000.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",300,402,2,139,3,64,2,24,"$5,935,190,000.0","1,808",0,0,"640,930.92",1.84,1.84,2.94
Great Lakes Companies (Top 10K),"9,525",947,846,89,"The top 10,000 companies and startups in Great Lakes, by Crunchbase rank.",2022-09-15 11:08:00,"Active, Company, Location",,,,,"Great Lakes, North America",Regional Area,,,,,,,,"24,362","8,544",2002-09-30,162,"8,562",2%,10%,"1,199",2007-07-21,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Debt Financing","22,714",2,"$372,298,786,531.0","$2,740,574.0","$226,962,490,327.0",2002-09-30,"$72,699,954,970.0","$117,000,000.0","$315,887,747,209.0","$734,217,029.0",14%,"1,586","9,698","$527,746,574,369.0","$328,076,285.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","14,319","18,603",3,"6,067",3,"3,490",2,607,"$395,112,001,336.0","13,943","1,042","2,586","76,304.01",0.66,0.66,1.13
Real Estate Companies With More Than 10 Employees (Top 10K),"9,869",992,88,90,"The top 10,000 companies and startups in the real estate space with more than 10 employees, by Crunchbase rank.",2022-09-15 12:41:00,"Active, Industry, Company, Employee Range",,,Real Estate,Real Estate,,,,,,,,,,"8,956","2,739",1991-07-05,81,"9,466",1%,7%,749,2005-05-11,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Private Equity","6,133",2,"$226,753,243,116.0","$3,964,210.0","$122,534,571,986.0",1991-07-05,"$32,790,877,842.0","$173,200,000.0","$138,720,006,000.0","$1,200,000,000.0",8%,973,"3,408","$377,408,393,104.0","$454,297,290.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Family Investment Office,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank","3,352","4,047",2,"1,585",1,952,1,373,"$537,757,593,601.0","7,317",0,1,"273,645.62",1.23,1.23,1.98
Private Equity Firms with Investments in Massachusetts,882,489,19,91,Private equity firms that made investments in companies headquartered in Massachusetts.,2022-09-15 10:08:00,"Active, Investments in Location, Investor Type",,,,,"Massachusetts, United States, North America",State/Region,,,,,,,,137,65,1999-01-10,1,139,0%,4%,43,2003-10-10,0%,"Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Undisclosed,&nbsp;Post-IPO Debt",125,1,"$18,465,605,627.0",,"$12,660,389,836.0",1999-01-10,"$14,633,759,530.0","$333,587,294.0","$27,851,473,967.0","$1,706,000,000.0",2%,23,"5,203","$13,901,865,315.0","$1,802,500,000.0","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","32,621","42,785",16,"16,820",7,"12,160",6,"1,992","$2,656,678,289,597.0","1,115",,2,"246,288.57",0.7,0.7,0.83
Great Lakes Companies With Fewer Than 1000 Employees (Top 10K),"9,974","1,012",750,91,"The top 10,000 companies and startups in Great Lakes with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:27:00,"Active, Company, Employee Range, Location",,,,,"Great Lakes, North America",Regional Area,,,,,,,,"23,920","8,275",2006-03-10,176,"9,060",2%,7%,819,2011-03-27,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Debt Financing","22,593",2,"$201,847,455,052.0","$2,001,519.0","$142,493,121,241.0",2006-03-10,"$22,908,721,603.0","$63,000,000.0","$81,833,090,641.0","$327,312,340.0",14%,"1,601","4,061","$215,721,908,935.0","$210,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Incubator","13,297","17,781",7,"5,425",7,"3,060",5,635,"$229,097,114,352.0","14,583",11,17,"90,418.1",0.65,0.65,1.08
Great Lakes Companies With Less Than $50M in Revenue (Top 10K),"9,624",994,610,92,"The top 10,000 companies and startups in Great Lakes with less than $50m in revenue, by Crunchbase rank.",2022-09-15 09:00:00,"Active, Company, Location, Revenue Range",,,,,"Great Lakes, North America",Regional Area,,,,,,,$10M to $50M,"15,388","5,453",1999-10-12,118,"9,036",1%,4%,448,2011-06-28,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series A","15,288",2,"$120,374,949,439.0","$2,048,741.0","$93,958,420,716.0",1999-10-12,"$9,204,619,957.0","$50,875,003.0","$26,859,171,952.0","$256,456,944.0",14%,"1,430","2,657","$110,729,089,814.0","$132,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Incubator","11,211","15,362",9,"4,478",6,"2,785",4,543,"$105,492,083,111.0","11,537",10,18,"152,003.45",0.8,0.8,1.31
