Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
"Private Equity Firms with Investments in California","2,097","1,498","75","253","Private equity firms that made investments in companies headquartered in California.","Sep 15, 2022 9:52 AM","Active, Investments in Location, Investor Type","—","—","—","—","California, United States, North America","State/Region","—","—","—","—",—,"—",—,"196","95","Jul 9, 2000","2","328","0%","4%","97","Feb 12, 2004","0%","Seed,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B","198","1","$21,349,517,262","$1,000,000","$11,848,241,897","Jul 9, 2000","$18,928,800,317","$315,000,000","$47,516,292,404","$1,653,112,825","2%","47","8,444","$34,836,531,938","$1,700,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","45,413","57,840","9","22,425","5","15,516","3","3,173","$3,931,057,349,972","2,218",—,"2","299,849.89","0.72","0.72","0.81"
"Private Asia-Pacific (APAC) Companies (Top 10K)","9,884","973","1,699","253","The top 10,000 private companies and startups in Asia-Pacific (APAC), by Crunchbase rank.","Sep 15, 2022 11:25 AM","Active, Company, Location","—","—","—","—","Asia-Pacific (APAC)","Regional Area","—","—","—","—","—","—",—,"57,547","18,786","Dec 17, 2013","42","8,961","0%",—,"0",—,—,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","28,281","2","$848,537,450,469","$9,181,143","$744,070,474,531","Dec 17, 2013",—,—,—,—,"6%","603","1,611","$107,319,818,467","$83,135,941","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","16,374","21,623","2","8,070","2","2,186","2","531","$128,459,124,663","16,561","0","2","32,608.25","0.91","0.91","1.43"
"Venture Capital Investors with Investments in Cambridge, Massachusetts","1,070","138","7","254","Venture capital investors that made investments in companies headquartered in Cambridge, Massachusetts.","Sep 15, 2022 10:02 AM","Active, Investments in Location, Investor Type","—","—","—","—","Cambridge, Massachusetts, United States","City","—","—","—","—",—,"—",—,"206","55","Jul 20, 2004","2","146","0%","2%","27","Dec 23, 2002","0%","Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","173","1","$12,622,952,330","$250,000","$8,066,562,733","Jul 20, 2004","$6,096,052,112","$125,557,530","$24,162,764,816","$438,500,000","1%","9","364","$19,800,000,000","$4,300,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","88,186","134,345","42","36,810","12","24,881","9","2,766","$947,433,747,287","1,588","4","7","206,798.8","0.92","0.92","0.96"
"Dental Companies With Fewer Than 50 Employees (Top 10K)","9,016","889","8","254","The top 10,000 companies and startups in the dental space with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 12:15 PM","Active, Industry, Company, Employee Range","—","—","Dental","Health Care","—","—","—","—","—","—","—",—,—,"544","176","Aug 18, 1998","162","8,755","2%","0%","6","Feb 3, 2011",—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Grant","499","1","$1,339,983,103","$561,383","$1,295,773,711","Aug 18, 1998",—,—,—,—,"1%","52","37","$5,000,000","$5,000,000","Micro VC","4","4","2","2","1","0",—,"0",—,"957","0","0","1,376,578.58","1.69","1.69","2.68"
"Dental Companies With Fewer Than 100 Employees (Top 10K)","9,405","965","12","255","The top 10,000 companies and startups in the dental space with fewer than 100 employees, by Crunchbase rank.","Sep 15, 2022 11:34 AM","Active, Industry, Company, Employee Range","—","—","Dental","Health Care","—","—","—","—","—","—","—",—,—,"701","225","Apr 17, 1998","203","9,094","2%","0%","12","Dec 12, 2013",—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Private Equity","624","1","$2,524,530,324","$750,000","$2,413,854,265","Apr 17, 1998","$21,000,000","$21,000,000","$105,900,000","$105,900,000","1%","71","45","$237,199,009","$7,199,009","Micro VC","9","10","1","6","1","1","1","0",—,"1,052","0","0","1,361,283.43","1.67","1.67","2.66"
"Wholesale Companies With More Than $1M in Revenue (Top 10K)","10,000","980","1","256","The top 10,000 companies and startups in the wholesale space with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 12:50 PM","Active, Industry, Company, Revenue Range","—","—","Wholesale","Commerce and Shopping","—","—","—","—","—","—","—","—","$1M to $10M","494","168","Sep 10, 1977","21","9,790","0%","1%","128","Mar 14, 2007","0%","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Post-IPO Equity","374","1","$20,186,045,246","$1,040,833","$10,129,972,864","Sep 10, 1977","$1,085,908,340","$266,666,670","$3,534,400,000","$900,000,000","1%","109","533","$18,143,567,387","$311,000,000","Venture Capital","156","173","1","75","1","34","3","0",—,"1,008","0","0","985,357","1.53","1.53","2.57"
"Residential Companies With Fewer Than 50 Employees (Top 10K)","9,267","958","0","257","The top 10,000 companies and startups in the residential space with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 8:59 AM","Active, Industry, Company, Employee Range","—","—","Residential","Real Estate","—","—","—","—","—","—","—",—,—,"319","98","May 24, 1993","174","8,964","2%","0%","35","Jun 20, 2006",—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Pre-Seed,&nbsp;Series A","274","1","$3,581,034,331","$400,000","$3,136,254,242","May 24, 1993","$2,230,247,046","$22,247,046","$2,200,000,000","$2,200,000,000","1%","55","11","$238,818,951","$16,759,475","Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Venture Capital","51","59","1","15","3","13","6","8","$1,142,000,000","1,080","0","0","1,227,683.5","1.7","1.7","2.48"
"Private Equity Firms with Investments in Greater New York Area","1,272","1,047","32","258","Private equity firms that made investments in companies headquartered in Greater New York Area.","Sep 15, 2022 10:29 AM","Active, Investments in Location, Investor Type","—","—","—","—","Greater New York Area, United States, North America","Regional Area","—","—","—","—",—,"—",—,"150","75","Nov 8, 1999","1","200","0%","4%","56","Apr 14, 2006","0%","Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Undisclosed,&nbsp;Post-IPO Debt","144","1","$14,163,536,490",—,"$7,255,023,851","Nov 8, 1999","$12,525,602,607","$324,293,647","$33,331,451,120","$1,679,556,413","2%","38","7,178","$11,964,122,909","$516,865,315","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","37,731","48,565","13","19,358","6","13,488","5","2,407","$3,413,304,003,539","1,517",—,"3","246,078.99","0.73","0.73","0.91"
"Construction Companies With Less Than $1B in Revenue (Top 10K)","9,874","989","58","258","The top 10,000 companies and startups in the construction space with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 12:58 PM","Active, Industry, Company, Revenue Range","—","—","Construction","Real Estate","—","—","—","—","—","—","—","—","$500M to $1B","2,140","696","Nov 9, 1981","57","9,513","1%","3%","299","Sep 9, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing","1,640","1","$18,768,897,830","$1,349,949","$11,371,201,515","Nov 9, 1981","$3,005,036,385","$126,624,189","$19,989,399,680","$1,896,000,000","3%","276","1,041","$16,370,067,861","$485,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Micro VC","496","646","1","180","1","123","1","36","$5,821,151,434","2,562","1","1","539,660.9","1.71","1.71","2.73"
"Florida Companies With Fewer Than 1000 Employees (Top 10K)","9,926","950","314","259","The top 10,000 companies and startups in Florida with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 10:02 AM","Active, Company, Employee Range, Location","—","—","—","—","Florida, United States, North America","State/Region","—","—","—","—","—",—,—,"4,828","1,502","Aug 11, 2001","176","9,235","2%","2%","232","Jun 24, 2009","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Pre-Seed,&nbsp;Series A","5,053","1","$48,058,912,852","$1,000,000","$32,660,192,217","Aug 11, 2001","$5,418,677,152","$50,000,000","$60,529,296,864","$303,000,000","10%","1,134","1,756","$74,688,138,322","$144,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Angel Group,&nbsp;Family Investment Office","1,897","2,334","2","695","2","397","2","149","$45,921,607,028","7,100","1","2","295,833.7","1.19","1.19","1.93"
"Texas Companies With More Than $1M in Revenue (Top 10K)","9,833","946","289","260","The top 10,000 companies and startups in Texas with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 8:42 AM","Active, Company, Location, Revenue Range","—","—","—","—","Texas, United States, North America","State/Region","—","—","—","—","—","—","$1M to $10M","5,707","2,012","Jan 30, 1995","192","9,285","2%","3%","314","May 26, 2006","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","5,707","2","$152,773,828,721","$3,662,302","$83,607,259,935","Jan 30, 1995","$53,177,762,862","$135,150,000","$99,746,166,321","$716,220,000","9%","975","3,203","$440,203,472,344","$365,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Accelerator","3,071","4,198","2","1,414","2","805","2","282","$171,747,031,010","6,215","0","0","331,446.74","1.22","1.22","2.03"
"Dental Companies With Fewer Than 1000 Employees (Top 10K)","9,293","968","12","261","The top 10,000 companies and startups in the dental space with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 12:09 PM","Active, Industry, Company, Employee Range","—","—","Dental","Health Care","—","—","—","—","—","—","—",—,—,"966","340","Feb 1, 1997","329","8,849","4%","0%","21","Sep 24, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Grant","815","1","$4,482,295,719","$552,672","$4,289,482,841","Feb 1, 1997","$69,000,000","$24,000,000","$187,500,000","$93,750,000","1%","117","123","$972,768,928","$119,600,144","Micro VC","16","17","1","13","1","1","1","0",—,"1,178","0","0","1,263,298.85","1.75","1.75","2.79"
"California Companies With Less Than $50M in Revenue (Top 10K)","9,891","937","2,294","262","The top 10,000 companies and startups in California with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 10:10 AM","Active, Company, Location, Revenue Range","—","—","—","—","California, United States, North America","State/Region","—","—","—","—","—","—","$10M to $50M","57,874","14,023","Jun 27, 2011","78","9,274","1%","5%","528","Jan 14, 2015","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","32,073","3","$454,375,659,504","$8,537,188","$395,469,982,719","Jun 27, 2011","$49,402,854,886","$91,850,000","$218,254,992,868","$506,362,708","17%","1,761","2,687","$156,170,676,012","$160,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","53,421","80,672","34","20,540","11","15,115","8","1,703","$518,266,231,263","20,003","3","12","54,549.22","0.71","0.71","0.98"
"Consulting Companies With Fewer Than 50 Employees (Top 10K)","9,635","973","95","263","The top 10,000 companies and startups in the consulting space with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 9:51 AM","Active, Industry, Company, Employee Range","—","—","Consulting","Professional Services","—","—","—","—","—","—","—",—,—,"3,373","1,205","Oct 3, 2007","113","9,051","1%","1%","75","Nov 2, 2011","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","3,518","1","$10,728,969,969","$390,715","$8,644,879,947","Oct 3, 2007","$415,959,903","$26,000,000","$1,078,502,809","$205,251,404","6%","633","550","$10,025,057,312","$11,350,000","Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator,&nbsp;Micro VC","4,579","5,282","2","1,533","2","561","1","87","$4,168,662,134","7,338","0","0","305,192.77","1.28","1.28","1.91"
"Machinery Manufacturing Companies With Fewer Than 1000 Employees (Top 10K)","9,572","948","5","264","The top 10,000 companies and startups in the machinery manufacturing space with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 9:10 AM","Active, Industry, Company, Employee Range","—","—","Machinery Manufacturing","Manufacturing","—","—","—","—","—","—","—",—,—,"1,432","521","Oct 9, 1974","10","9,239","0%","3%","301","Jan 6, 2006","0%","Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","1,226","1","$8,141,232,002","$236,157","$6,168,908,278","Oct 9, 1974","$1,050,680,583","$82,189,268","$6,182,184,768","$288,080,624","7%","748","504","$21,064,545,608","$72,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm","77","89","1","24","1","12","1","2",—,"1,374","0","0","732,051.5","1.59","1.59","2.63"
"Private Equity Firms with Investments in Greater Seattle Area","418","54","7","264","Private equity firms that made investments in companies headquartered in Greater Seattle Area.","Sep 15, 2022 11:59 AM","Active, Investments in Location, Investor Type","—","—","—","—","Greater Seattle Area, Washington, United States","Regional Area","—","—","—","—",—,"—",—,"75","28","Feb 12, 1999",—,"79",—,"6%","29","May 16, 2008","0%","Seed,&nbsp;Series B,&nbsp;Undisclosed,&nbsp;Post-IPO Debt,&nbsp;Debt Financing","60","1","$6,708,128,243","$1,125,000","$2,850,003,243","Feb 12, 1999","$10,301,467,309","$565,393,621","$35,292,821,295","$2,298,468,798","2%","8","3,230","$6,046,720,956","$3,023,360,478","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","21,435","28,553","25","11,020","10","8,636","9","1,215","$2,052,602,632,769","562",—,—,"198,840.27","0.73","0.73","0.83"
"Construction Companies With Less Than $500M in Revenue (Top 10K)","9,935","1,005","58","265","The top 10,000 companies and startups in the construction space with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 12:04 PM","Active, Industry, Company, Revenue Range","—","—","Construction","Real Estate","—","—","—","—","—","—","—","—","$100M to $500M","2,096","685","Feb 19, 1982","58","9,574","1%","3%","256","Nov 22, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing","1,616","1","$15,720,904,858","$1,281,010","$10,660,487,294","Feb 19, 1982","$2,713,436,385","$126,624,189","$14,242,399,680","$1,184,000,000","2%","264","888","$13,446,067,861","$485,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm","441","583","2","161","2","104","2","30","$1,881,327,000","2,548","0","0","548,048.48","1.71","1.71","2.73"
"Western US Companies With More Than 50 Employees (Top 10K)","9,645","977","2,636","266","The top 10,000 companies and startups in Western US with more than 50 employees, by Crunchbase rank.","Sep 15, 2022 12:03 PM","Active, Company, Employee Range, Location","—","—","—","—","Western US, United States, North America","Regional Area","—","—","—","—","—",—,—,"48,517","13,956","Aug 18, 2000","135","9,181","1%","12%","1,443","Dec 20, 2008","2%","Venture - Series Unknown,&nbsp;Series B,&nbsp;Private Equity,&nbsp;Series C,&nbsp;Series A","26,206","3","$1,284,520,628,370","$37,656,069","$815,400,099,710","Aug 18, 2000","$250,468,939,335","$125,179,629","$1,767,602,820,144","$966,400,600","26%","2,950","13,325","$1,678,457,323,006","$417,750,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Angel Group","34,681","50,073","2","14,194","2","10,200","2","737","$566,324,380,002","16,168","1,223","2,435","83,789.89","0.82","0.82","1.34"
"Private Equity Firms with Investments in Great Lakes","1,398","983","31","266","Private equity firms that made investments in companies headquartered in Great Lakes.","Sep 15, 2022 12:03 PM","Active, Investments in Location, Investor Type","—","—","—","—","Great Lakes, North America","Regional Area","—","—","—","—",—,"—",—,"145","81","Jun 22, 1999","1","208","0%","4%","57","Aug 14, 2005","0%","Seed,&nbsp;Grant,&nbsp;Series B,&nbsp;Undisclosed,&nbsp;Post-IPO Debt","159","1","$16,700,114,751","$200,000","$6,958,577,920","Jun 22, 1999","$12,113,758,309","$440,500,000","$29,984,934,120","$1,975,790,812","2%","32","8,774","$5,404,624,029","$338,482,658","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","37,203","47,759","10","19,438","6","13,864","4","2,709","$3,681,769,451,791","1,620",—,"2","271,911.08","0.71","0.71","0.91"
"Europe Companies With Less Than $1B in Revenue (Top 10K)","9,087","952","3,303","267","The top 10,000 companies and startups in Europe with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 12:30 PM","Active, Company, Location, Revenue Range","—","—","—","—","Europe","Continent","—","—","—","—","—","—","$500M to $1B","34,583","12,324","Feb 24, 2010","36","8,798","0%","7%","795","Jan 21, 2014","1%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","26,829","2","$449,326,400,475","$5,067,306","$301,450,121,206","Feb 24, 2010","$44,956,727,125","$76,637,661","$280,499,320,378","$409,739,616","18%","1,838","6,075","$282,995,805,515","$140,147,024","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Angel Group","14,833","20,607","3","7,276","4","2,742","3","594","$471,082,557,961","17,600","7","11","52,809.48","0.69","0.69","0.83"
"Commercial Companies (Top 10K)","9,094","986","5","268","The top 10,000 companies and startups in the commercial space, by Crunchbase rank.","Sep 15, 2022 11:24 AM","Active, Industry, Company","—","—","Commercial","Other","—","—","—","—","—","—","—","—",—,"1,657","660","Jun 2, 1983","42","8,738","0%","2%","243","Oct 14, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","1,698","1","$32,189,076,288","$1,224,085","$18,663,728,008","Jun 2, 1983","$5,578,083,749","$192,295,350","$16,675,332,700","$1,400,953,350","7%","733","1,107","$106,756,118,144","$180,450,000","Private Equity Firm,&nbsp;Government Office,&nbsp;Venture Capital,&nbsp;Angel Group,&nbsp;Accelerator","494","605","1","257","1","76","1","19","$3,541,132,146","2,059","1","1","620,747.56","1.67","1.67","2.6"
"United States Dental Companies (Top 10K)","9,091","907","6","269","The top 10,000 companies and startups in United States in the dental space, by Crunchbase rank.","Sep 15, 2022 10:22 AM","Active, Industry, Company, Location","—","—","Dental","Health Care","United States, North America","Country","—","—","—","—","—","—",—,"545","186","Dec 24, 1995","332","8,639","4%","0%","16","Nov 23, 2003","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","498","1","$4,764,461,459","$345,000","$2,886,155,614","Dec 24, 1995","$2,144,700,000","$24,000,000","$11,770,500,000","$1,394,450,000","1%","129","184","$69,405,500,000","$102,500,000","Micro VC","27","30","4","13","1","6","1","0",—,"847","0","0","1,314,821.72","1.8","1.8","2.92"
"Europe Companies With Less Than $500M in Revenue (Top 10K)","9,891","1,004","3,255","270","The top 10,000 companies and startups in Europe with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 10:50 AM","Active, Company, Location, Revenue Range","—","—","—","—","Europe","Continent","—","—","—","—","—","—","$100M to $500M","35,673","12,648","Apr 11, 2010","41","9,578","0%","7%","770","Mar 21, 2014","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","28,255","2","$400,460,930,327","$4,364,958","$277,293,607,725","Apr 11, 2010","$35,398,500,975","$71,442,716","$203,076,442,377","$359,887,500","17%","1,904","5,539","$218,942,509,232","$122,958,566","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Angel Group","15,469","21,468","3","7,588","4","2,691","3","636","$475,592,090,699","18,909","7","11","57,963.06","0.67","0.67","0.8"
"Florida Companies With Less Than $500M in Revenue (Top 10K)","9,869","991","284","271","The top 10,000 companies and startups in Florida with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 10:43 AM","Active, Company, Location, Revenue Range","—","—","—","—","Florida, United States, North America","State/Region","—","—","—","—","—","—","$100M to $500M","2,819","935","Jul 25, 1997","198","9,348","2%","1%","151","Nov 29, 2009","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","3,285","1","$37,992,221,278","$1,273,264","$25,769,139,344","Jul 25, 1997","$3,858,569,856","$53,000,000","$22,452,010,400","$465,000,000","6%","628","1,176","$63,649,677,956","$188,483,231","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Family Investment Office,&nbsp;Investment Bank,&nbsp;Micro VC","1,534","1,876","3","519","2","345","2","93","$11,611,675,894","5,058","2","3","397,849.28","1.39","1.39","2.14"
"West Coast Companies With Fewer Than 50 Employees (Top 10K)","9,971","981","2,422","272","The top 10,000 companies and startups in West Coast with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 12:05 PM","Active, Company, Employee Range, Location","—","—","—","—","West Coast, United States, North America","Regional Area","—","—","—","—","—",—,—,"52,913","11,798","Feb 24, 2015","48","9,107","0%","2%","260","Nov 11, 2015","0%","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","28,085","2","$164,732,174,797","$5,165,679","$148,428,317,924","Feb 24, 2015","$10,631,552,466","$65,000,000","$36,216,080,948","$345,000,000","11%","1,089","935","$36,571,256,311","$100,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","35,269","51,983","54","11,375","14","8,574","8","1,155","$315,622,485,923","19,945","0","2","43,489.84","0.72","0.72","1.1"
"Florida Companies With Less Than $1B in Revenue (Top 10K)","9,922","970","290","273","The top 10,000 companies and startups in Florida with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 9:58 AM","Active, Company, Location, Revenue Range","—","—","—","—","Florida, United States, North America","State/Region","—","—","—","—","—","—","$500M to $1B","2,866","949","Jun 6, 1997","202","9,396","2%","1%","163","Jul 18, 2009","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","3,317","1","$46,551,994,278","$1,352,849","$31,918,462,344","Jun 6, 1997","$6,500,469,856","$65,200,000","$30,509,882,333","$482,000,000","6%","656","1,328","$77,310,677,956","$209,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Family Investment Office,&nbsp;Investment Bank,&nbsp;Micro VC","1,572","1,920","2","529","2","356","2","93","$11,611,675,894","5,104","2","4","396,961.49","1.39","1.39","2.13"
"Private Equity Firms with Investments in San Francisco Bay Area","1,551","1,000","41","273","Private equity firms that made investments in companies headquartered in San Francisco Bay Area.","Sep 15, 2022 9:57 AM","Active, Investments in Location, Investor Type","—","—","—","—","San Francisco Bay Area, California, United States","Regional Area","—","—","—","—",—,"—",—,"153","75","Nov 9, 1999","2","257","0%","5%","79","Sep 1, 2003","0%","Seed,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B","158","1","$11,787,422,262","$1,184,100","$4,909,146,897","Nov 9, 1999","$14,283,192,685","$273,500,000","$45,884,292,404","$1,706,000,000","2%","38","6,868","$32,648,031,938","$1,875,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","40,580","52,288","12","19,981","6","14,130","4","2,652","$3,568,885,976,430","1,702",—,"2","273,159.16","0.73","0.73","0.78"
"Western US Manufacturing Companies (Top 10K)","9,925","957","9","274","The top 10,000 companies and startups in Western US in the manufacturing space, by Crunchbase rank.","Sep 15, 2022 12:28 PM","Active, Industry, Company, Location","—","—","Manufacturing","Manufacturing","Western US, United States, North America","Regional Area","—","—","—","—","—","—",—,"5,640","1,688","Jan 29, 1989","10","9,523","0%","3%","382","Mar 12, 2005","1%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","5,115","2","$180,773,504,700","$2,500,743","$66,136,400,825","Jan 29, 1989","$22,504,100,448","$75,100,000","$92,850,078,066","$447,568,821","14%","1,567","1,673","$306,100,206,244","$174,167,333","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Angel Group","694","903","2","246","1","214","1","15","$2,270,375,000","4,362","0","0","411,272.38","1.31","1.31","2.29"
"Venture Capital Investors with Investments in Asia","7,080","1,079","248","274","Venture capital investors that made investments in companies headquartered in Asia.","Sep 15, 2022 12:28 PM","Active, Investments in Location, Investor Type","—","—","—","—","Asia","Continent","—","—","—","—",—,"—",—,"1,184","353","Apr 4, 2008","8","888","0%","3%","226","Aug 12, 2005","0%","Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","800","1","$51,037,197,111","$835,993","$28,449,900,600","Apr 4, 2008","$38,574,108,277","$266,793,647","$376,405,199,571","$1,720,258,500","1%","41","1,932","$26,384,424,496","$3,850,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","185,422","257,741","8","71,884","3","40,153","3","5,950","$1,640,107,146,606","6,115","37","59","518,016.08","0.91","0.91","0.83"
"Private Equity Firms with Investments in Washington","438","55","7","275","Private equity firms that made investments in companies headquartered in Washington.","Sep 15, 2022 9:47 AM","Active, Investments in Location, Investor Type","—","—","—","—","Washington, United States, North America","State/Region","—","—","—","—",—,"—",—,"75","28","Apr 20, 1999",—,"83",—,"6%","29","May 16, 2008","0%","Seed,&nbsp;Series B,&nbsp;Undisclosed,&nbsp;Post-IPO Debt,&nbsp;Debt Financing","62","1","$6,709,243,243","$1,120,000","$2,851,118,243","Apr 20, 1999","$10,301,467,309","$565,393,621","$35,292,821,295","$2,298,468,798","2%","9","3,317","$6,081,838,118","$516,865,315","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","21,992","29,240","24","11,362","10","8,870","9","1,255","$2,068,945,715,077","593",—,—,"200,615.6","0.75","0.75","0.83"
