Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
Health Care Companies With Less Than $50M in Revenue (Top 10K),"9,964",995,357,104,"The top 10,000 companies and startups in the health care space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 12:08:00,"Active, Industry, Company, Revenue Range",,,Health Care,Health Care,,,,,,,,,$10M to $50M,"34,408","11,548",2008-06-06,105,"9,553",1%,9%,"1,142",2014-06-01,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","29,616",3,351253456343.0,5572328.0,309294636508.0,2008-06-06,54069760015.0,76860833.0,216821462861.0,379000000.0,13%,"1,382","2,465",270428706423.0,200000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","9,798","15,265",4,"4,888",5,"3,887",4,444,197975096288.0,"16,228",3,3,"84,033.88",0.6,0.6,0.84
Industrial Companies With Fewer Than 1000 Employees (Top 10K),"9,869",976,27,105,"The top 10,000 companies and startups in the industrial space with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 09:12:00,"Active, Industry, Company, Employee Range",,,Industrial,Manufacturing,,,,,,,,,,"4,302","1,574",1981-03-24,25,"9,535",0%,5%,520,2007-01-13,0%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Series A,&nbsp;Private Equity","3,884",1,43154625720.0,1431186.0,32485431465.0,1981-03-24,6862801397.0,94997944.0,17706399747.0,391776000.0,6%,691,894,161898249302.0,171500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Micro VC",664,864,2,264,1,141,2,46,6836442410.0,"3,157",0,1,"469,909.37",1.56,1.56,2.51
East Coast Companies With Less Than $10M in Revenue (Top 10K),"9,605",954,"1,682",106,"The top 10,000 companies and startups in East Coast with less than $10m in revenue, by Crunchbase rank.",2022-09-15 11:11:00,"Active, Company, Location, Revenue Range",,,,,"East Coast, United States, North America",Regional Area,,,,,,,$1M to $10M,"34,025","9,628",2010-06-18,65,"8,961",1%,4%,464,2012-08-27,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","26,291",2,223681816866.0,3833752.0,184412871060.0,2010-06-18,16850016714.0,55000000.0,89868616527.0,345300000.0,13%,"1,265","2,825",99614774318.0,140000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Family Investment Office","23,714","34,491",23,"9,895",8,"6,433",6,"1,051",363281857735.0,"16,977","1,262","2,535","75,819.64",0.64,0.64,0.94
Health Care Companies With Fewer Than 1000 Employees (Top 10K),"9,890",968,651,107,"The top 10,000 companies and startups in the health care space with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:05:00,"Active, Industry, Company, Employee Range",,,Health Care,Health Care,,,,,,,,,,"50,046","16,265",2012-06-04,41,"9,378",0%,11%,"1,274",2014-08-11,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Post-IPO Equity","35,665",3,531625903724.0,11286483.0,459817812552.0,2012-06-04,73089809580.0,80000000.0,310691219306.0,400823375.0,10%,"1,043","2,199",274213546102.0,232666666.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC","5,450","8,746",1,"3,029",2,"2,234",2,199,143706676133.0,"17,988",18,42,"39,798.06",0.72,0.72,1.07
Real Estate Companies (Top 10K),"9,726",985,103,108,"The top 10,000 companies and startups in the real estate space, by Crunchbase rank.",2022-09-15 12:14:00,"Active, Industry, Company",,,Real Estate,Real Estate,,,,,,,,,,"11,338","3,407",1997-03-11,54,"9,282",1%,7%,740,2005-11-12,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Debt Financing","8,300",1,245073053972.0,1724786.0,128701067052.0,1997-03-11,33995847686.0,173200000.0,138951137972.0,1150000000.0,9%,"1,028","3,481",392719847723.0,464973979.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Family Investment Office,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank","4,629","5,659",2,"1,906",2,"1,188",2,442,552079639240.0,"9,415",0,1,"214,207.13",1.04,1.04,1.64
"Venture Capital Investors with Investments in New York, New York","4,001","1,198",178,109,"Venture capital investors that made investments in companies headquartered in New York, New York.",2022-09-15 11:21:00,"Active, Investments in Location, Investor Type",,,,,"New York, New York, United States",City,,,,,,,,811,173,2008-08-16,5,546,0%,1%,65,2002-07-31,,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",519,1,11871220633.0,,6545264752.0,2008-08-16,22018803497.0,110000000.0,144225574218.0,525000000.0,1%,31,"1,529",30920826557.0,725000000.0,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","176,639","254,528",22,"69,124",7,"42,499",5,"6,174",1547431161748.0,"5,541",8,15,"240,237.57",0.85,0.85,0.86
East Coast Companies With Fewer Than 50 Employees (Top 10K),"9,819",991,"1,894",109,"The top 10,000 companies and startups in East Coast with fewer than 50 employees, by Crunchbase rank.",2022-09-15 11:49:00,"Active, Company, Employee Range, Location",,,,,"East Coast, United States, North America",Regional Area,,,,,,,,"39,021","10,442",2014-05-31,46,"8,975",0%,4%,417,2013-10-01,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Grant","27,586",2,166405599162.0,4013686.0,139775511246.0,2014-05-31,13809195678.0,58149000.0,54532676635.0,293600000.0,9%,934,"1,308",83464383161.0,85000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","18,899","26,900",32,"7,040",11,"4,604",8,746,187867406807.0,"17,971",8,12,"51,019.87",0.71,0.71,1.13
Western US Companies With Less Than $50M in Revenue (Top 10K),"9,959",994,"3,050",110,"The top 10,000 companies and startups in Western US with less than $50m in revenue, by Crunchbase rank.",2022-09-15 09:01:00,"Active, Company, Location, Revenue Range",,,,,"Western US, United States, North America",Regional Area,,,,,,,$10M to $50M,"64,205","16,290",2011-09-23,60,"9,491",1%,6%,655,2015-02-06,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","36,869",3,547514455997.0,11978374.0,466021690597.0,2011-09-23,56448237658.0,85260000.0,268297592362.0,490000000.0,18%,"1,846","2,747",163474440855.0,170000000.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","46,005","69,622",28,"17,811",12,"12,595",9,"1,299",436536960270.0,"20,565",3,10,"38,685.2",0.76,0.76,1.06
Property Management Companies With Fewer Than 1000 Employees (Top 10K),"9,413",977,21,111,"The top 10,000 companies and startups in the property management space with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:11:00,"Active, Industry, Company, Employee Range",,,Property Management,Real Estate,,,,,,,,,,"2,967",881,1994-11-23,123,"8,996",1%,3%,270,2006-05-13,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Debt Financing","2,178",2,36448782730.0,1186046.0,26914326788.0,1994-11-23,5852867591.0,446000000.0,45716644017.0,2848000000.0,2%,189,259,47998790172.0,188699636.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Family Investment Office,&nbsp;Corporate Venture Capital",397,473,1,134,1,56,2,40,10901981442.0,"3,345",0,0,"664,358.4",1.75,1.75,2.64
Health Care Companies With More Than 10 Employees (Top 10K),"9,854",943,637,112,"The top 10,000 companies and startups in the health care space with more than 10 employees, by Crunchbase rank.",2022-09-15 10:39:00,"Active, Industry, Company, Employee Range",,,Health Care,Health Care,,,,,,,,,,"45,097","15,055",2007-10-23,127,"9,335",1%,13%,"1,581",2012-07-31,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Post-IPO Equity","33,379",3,708344414129.0,12696176.0,560860459295.0,2007-10-23,119328307681.0,89925000.0,524720063844.0,459500000.0,13%,"1,366","6,011",705733770619.0,300000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Entrepreneurship Program","8,375","12,449",2,"4,615",2,"3,268",2,267,244566457984.0,"16,457",18,31,"49,325.03",0.68,0.68,1.03
Health Care Companies (Top 10K),"9,922",948,811,113,"The top 10,000 companies and startups in the health care space, by Crunchbase rank.",2022-09-15 12:56:00,"Active, Industry, Company",,,Health Care,Health Care,,,,,,,,,,"50,727","16,534",2010-08-24,70,"9,275",1%,12%,"1,458",2013-06-18,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Post-IPO Equity","35,492",3,726015093599.0,13760331.0,577099471738.0,2010-08-24,110579192211.0,87250000.0,463732667798.0,448280000.0,10%,"1,117","4,635",436589262539.0,295000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Entrepreneurship Program","6,969","10,585",2,"3,926",2,"2,575",2,182,134363046805.0,"17,741",46,91,"36,352.82",0.77,0.77,1.17
Venture Capital Investors with Investments in European Union (EU),"4,898",813,430,114,Venture capital investors that made investments in companies headquartered in European Union (EU).,2022-09-15 10:37:00,"Active, Investments in Location, Investor Type",,,,,"European Union (EU), Europe",Regional Area,,,,,,,,843,215,2007-07-01,5,698,0%,2%,93,2007-01-10,0%,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",613,1,34872925876.0,45000.0,14092161708.0,2007-07-01,25880904894.0,127000000.0,180820924447.0,869412840.0,1%,52,"2,552",37704937661.0,748000000.0,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","166,798","236,822",12,"68,458",5,"37,736",3,"5,546",1500191569894.0,"5,514",38,56,"370,422.36",0.8,0.8,0.82
Industrial Companies (Top 10K),"9,918",956,30,114,"The top 10,000 companies and startups in the industrial space, by Crunchbase rank.",2022-09-15 10:57:00,"Active, Industry, Company",,,Industrial,Manufacturing,,,,,,,,,,"4,701","1,760",1979-05-19,24,"9,467",0%,8%,931,2004-04-09,0%,"Grant,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A","4,313",1,107580283568.0,1485048.0,56055376751.0,1979-05-19,23703838015.0,137000000.0,59537378042.0,668238307.0,9%,"1,010","3,123",399975801177.0,279500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Incubator,&nbsp;Investment Bank","1,085","1,339",2,453,1,235,2,56,19372266551.0,"3,528",0,1,"400,600.63",1.47,1.47,2.37
Property Management Companies (Top 10K),"9,317",969,21,115,"The top 10,000 companies and startups in the property management space, by Crunchbase rank.",2022-09-15 09:20:00,"Active, Industry, Company",,,Property Management,Real Estate,,,,,,,,,,"3,247",989,1994-05-02,122,"8,835",1%,4%,402,2006-08-28,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Debt Financing","2,364",2,57295430046.0,1263432.0,39517141931.0,1994-05-02,9326761212.0,250000000.0,70965045269.0,2573234399.0,3%,255,703,78545445641.0,194349818.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Family Investment Office,&nbsp;Co-Working Space",730,836,1,246,1,178,2,66,73656905650.0,"3,508",0,1,"607,093.59",1.73,1.73,2.64
United States Industrial Companies (Top 10K),"8,831",983,12,116,"The top 10,000 companies and startups in United States in the industrial space, by Crunchbase rank.",2022-09-15 10:39:00,"Active, Industry, Company, Location",,,Industrial,Manufacturing,"United States, North America",Country,,,,,,,,"1,980",720,1977-04-28,22,"8,490",0%,2%,222,2001-09-02,0%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","1,962",1,46292158587.0,1460383.0,27874390648.0,1977-04-28,19466624876.0,171000000.0,51724504746.0,859933996.0,7%,715,"1,785",319379953548.0,380000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Micro VC,&nbsp;Angel Group",518,666,2,220,2,125,2,39,17991634419.0,"1,985",0,1,"605,274.54",1.69,1.69,2.82
Southern US Companies With More Than 50 Employees (Top 10K),"9,907",995,940,117,"The top 10,000 companies and startups in Southern US with more than 50 employees, by Crunchbase rank.",2022-09-15 09:18:00,"Active, Company, Employee Range, Location",,,,,"Southern US, United States, North America",Regional Area,,,,,,,,"12,246","4,590",1988-10-12,227,"9,280",2%,10%,"1,287",2004-02-17,2%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Grant,&nbsp;Post-IPO Equity","10,600",1,469320702658.0,10463223.0,283688146130.0,1988-10-12,154059650805.0,123737500.0,373378658507.0,748406000.0,27%,"3,340","12,604",1510410129170.0,524071106.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Government Office,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital","7,969","9,807",2,"3,951",1,"2,210",1,287,419381111786.0,"10,058",78,165,"145,883.06",0.84,0.84,1.52
Consulting Companies With More Than $1M in Revenue (Top 10K),"9,816",981,61,118,"The top 10,000 companies and startups in the consulting space with more than $1m in revenue, by Crunchbase rank.",2022-09-15 09:42:00,"Active, Industry, Company, Revenue Range",,,Consulting,Professional Services,,,,,,,,,$1M to $10M,"2,764","1,125",1996-04-04,108,"9,289",1%,2%,205,2006-04-30,0%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","2,638",1,40840614648.0,671709.0,28137025270.0,1996-04-04,19956544592.0,104000000.0,78382618573.0,628042668.0,9%,961,"5,197",235790643366.0,257500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Incubator","4,082","4,709",2,"1,538",2,963,1,138,286483987552.0,"6,690",5,8,"289,270.67",1.28,1.28,1.98
United States Property Management Companies (Top 10K),"9,792",969,13,119,"The top 10,000 companies and startups in United States in the property management space, by Crunchbase rank.",2022-09-15 08:47:00,"Active, Industry, Company, Location",,,Property Management,Real Estate,"United States, North America",Country,,,,,,,,"1,456",371,1993-01-07,122,"9,392",1%,1%,72,2005-11-22,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Private Equity",974,1,21379961765.0,2000000.0,14376894761.0,1993-01-07,5819993621.0,280000000.0,45198445886.0,2573234399.0,1%,146,448,67469000000.0,2400000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Micro VC,&nbsp;Syndicate",218,242,1,86,1,64,1,56,72756163031.0,"2,137",0,1,"870,383.59",1.83,1.83,2.81
Property Management Companies With Fewer Than 100 Employees (Top 10K),"9,494",989,21,120,"The top 10,000 companies and startups in the property management space with fewer than 100 employees, by Crunchbase rank.",2022-09-15 12:41:00,"Active, Industry, Company, Employee Range",,,Property Management,Real Estate,,,,,,,,,,"2,120",638,1997-03-18,85,"9,145",1%,2%,174,2007-07-17,0%,"Seed,&nbsp;Pre-Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing","1,735",1,12427294398.0,738182.0,9175961053.0,1997-03-18,737067591.0,123950000.0,168644017.0,168644017.0,1%,119,104,16207593565.0,84000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Family Investment Office,&nbsp;Corporate Venture Capital",343,413,2,113,2,47,2,30,9393358276.0,"3,021",0,0,"808,131.64",1.85,1.85,2.67
Venture Capital Investors with Investments in San Francisco Bay Area,"6,379",821,510,121,Venture capital investors that made investments in companies headquartered in San Francisco Bay Area.,2022-09-15 09:47:00,"Active, Investments in Location, Investor Type",,,,,"San Francisco Bay Area, California, United States",Regional Area,,,,,,,,"1,131",259,2007-11-14,13,836,0%,2%,135,2004-01-04,0%,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",776,1,42378817937.0,2763.0,16516812254.0,2007-11-14,31381448909.0,126954109.0,205641419034.0,937500000.0,1%,48,"1,936",29649878500.0,1451996790.0,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","214,388","303,612",16,"82,576",5,"50,294",4,"7,810",1731565007376.0,"7,951",8,13,"295,868.97",0.77,0.77,0.78
Property Management Companies With Less Than $50M in Revenue (Top 10K),"9,004",962,11,121,"The top 10,000 companies and startups in the property management space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 08:48:00,"Active, Industry, Company, Revenue Range",,,Property Management,Real Estate,,,,,,,,,$10M to $50M,"1,453",408,1992-05-22,93,"8,723",1%,1%,107,2006-01-06,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Series B","1,029",2,13378707298.0,1868727.0,9824415019.0,1992-05-22,533827541.0,76500000.0,2200000000.0,2200000000.0,1%,88,133,14408917610.0,135000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Family Investment Office",132,153,1,30,1,33,4,25,8595641244.0,"1,944",0,0,"879,305.61",1.86,1.86,2.76
Property Management Companies With Less Than $500M in Revenue (Top 10K),"9,615",990,12,122,"The top 10,000 companies and startups in the property management space with less than $500m in revenue, by Crunchbase rank.",2022-09-15 12:03:00,"Active, Industry, Company, Revenue Range",,,Property Management,Real Estate,,,,,,,,,$100M to $500M,"1,644",482,1991-09-14,109,"9,276",1%,2%,204,2006-03-18,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Private Equity","1,142",2,23112246362.0,2328250.0,16276077519.0,1991-09-14,2151427541.0,135300000.0,10731977088.0,2823308822.0,1%,115,351,44041990254.0,300000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Family Investment Office",172,198,1,51,1,42,2,30,10986634410.0,"2,101",0,1,"867,695.37",1.83,1.83,2.72
Private Equity Firms with Investments in Greater Boston Area,863,503,19,123,Private equity firms that made investments in companies headquartered in Greater Boston Area.,2022-09-15 12:18:00,"Active, Investments in Location, Investor Type",,,,,"Greater Boston Area, United States, North America",Regional Area,,,,,,,,134,63,1998-12-15,1,136,0%,4%,43,2003-08-16,0%,"Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Undisclosed,&nbsp;Post-IPO Debt",123,1,18465605627.0,,12660389836.0,1998-12-15,14633759530.0,333587294.0,27851473967.0,1706000000.0,2%,23,"4,943",13901865315.0,1802500000.0,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","32,374","42,528",17,"16,721",7,"12,072",6,"1,966",2565396889693.0,"1,088",,2,"243,035.77",0.69,0.69,0.83
Startups Founded in 2022,"1,232",244,15,123,Startups that were founded in 2022.,2022-09-15 10:27:00,"Active, Founded Year, Startup",,,,,,,,,,,,,,"2,920",667,2022-02-11,5,"1,002",0%,,0,,,"Pre-Seed,&nbsp;Seed,&nbsp;Series A,&nbsp;Angel,&nbsp;Grant","1,363",1,11902931353.0,150442.0,11830554825.0,2022-02-11,,,,,,0,7,,,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Angel Group,&nbsp;Accelerator,&nbsp;Corporate Venture Capital",10,10,3,0,,0,,0,,"1,262",0,0,"149,768.07",2.26,2.26,5.2
Property Management Companies With Less Than $1B in Revenue (Top 10K),"9,673",990,12,124,"The top 10,000 companies and startups in the property management space with less than $1b in revenue, by Crunchbase rank.",2022-09-15 09:21:00,"Active, Industry, Company, Revenue Range",,,Property Management,Real Estate,,,,,,,,,$500M to $1B,"1,683",497,1991-08-14,113,"9,327",1%,2%,226,2006-07-05,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Private Equity","1,173",2,27637601375.0,2522601.0,17147804160.0,1991-08-14,3134821162.0,179000000.0,16350445886.0,2200000000.0,1%,120,465,57604990254.0,608000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Family Investment Office",264,302,1,99,1,84,2,45,69994286556.0,"2,127",0,1,"865,347.54",1.82,1.82,2.71
Residential Companies With More Than $1M in Revenue (Top 10K),"9,657",914,0,125,"The top 10,000 companies and startups in the residential space with more than $1m in revenue, by Crunchbase rank.",2022-09-15 08:42:00,"Active, Industry, Company, Revenue Range",,,Residential,Real Estate,,,,,,,,,$1M to $10M,343,108,1987-02-10,296,"9,231",3%,1%,105,2005-02-09,,"Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A",237,1,12074084742.0,5802500.0,6828910590.0,1987-02-10,528000000.0,264000000.0,9000000000.0,4500000000.0,0%,43,126,28221292498.0,313557375.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC",58,69,1,20,1,11,1,8,921752000.0,885,0,0,"1,262,777.95",1.65,1.65,2.38
East Coast Manufacturing Companies (Top 10K),"9,960",952,8,126,"The top 10,000 companies and startups in East Coast in the manufacturing space, by Crunchbase rank.",2022-09-15 12:52:00,"Active, Industry, Company, Location",,,Manufacturing,Manufacturing,"East Coast, United States, North America",Regional Area,,,,,,,,"3,623","1,393",1979-06-01,12,"9,530",0%,3%,371,2000-09-23,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","4,125",1,71993407517.0,1195596.0,45445423668.0,1979-06-01,16982274816.0,86850000.0,82877923312.0,433000000.0,15%,"1,699","2,588",554021124710.0,236666666.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Entrepreneurship Program",430,499,2,195,1,115,1,11,3139799985.0,"3,665",2,3,"394,971.39",1.44,1.44,2.4
Health Care Companies With Less Than $10M in Revenue (Top 10K),"9,780",993,286,127,"The top 10,000 companies and startups in the health care space with less than $10m in revenue, by Crunchbase rank.",2022-09-15 10:01:00,"Active, Industry, Company, Revenue Range",,,Health Care,Health Care,,,,,,,,,$1M to $10M,"28,262","9,308",2009-04-12,108,"9,379",1%,7%,796,2014-03-31,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","24,818",2,216158815007.0,4022239.0,192892865580.0,2009-04-12,26075683444.0,60000000.0,93257244750.0,306987500.0,11%,"1,086","1,346",116898857332.0,134234887.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","6,537","9,751",7,"3,029",6,"2,383",5,357,78572138311.0,"15,078",2,4,"112,285.61",0.63,0.63,0.89
East Coast Companies With More Than 50 Employees (Top 10K),"9,735",971,"1,634",128,"The top 10,000 companies and startups in East Coast with more than 50 employees, by Crunchbase rank.",2022-09-15 10:20:00,"Active, Company, Employee Range, Location",,,,,"East Coast, United States, North America",Regional Area,,,,,,,,"29,083","9,427",1991-09-22,194,"9,104",2%,13%,"1,567",2005-11-28,2%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series B","18,742",2,802504022625.0,21583089.0,564727871876.0,1991-09-22,190100074255.0,125565000.0,778985978572.0,715234163.0,27%,"3,279","17,630",1673094206584.0,500000000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Investment Bank,&nbsp;Hedge Fund,&nbsp;Corporate Venture Capital","19,855","26,274",2,"10,045",2,"6,825",2,731,1583937843274.0,"13,315","1,332","2,709","99,285.32",0.79,0.79,1.37
Georgia Manufacturing Companies,"2,245",340,1,129,Companies and startups in Georgia in the manufacturing space.,2022-09-15 12:05:00,"Active, Industry, Company, Location",,,Manufacturing,Manufacturing,"Georgia, United States, North America",State/Region,,,,,,,,183,67,1982-02-13,3,"2,153",0%,1%,25,1998-02-19,0%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Seed,&nbsp;Grant",246,1,3366398514.0,475000.0,1325903309.0,1982-02-13,602100000.0,58175000.0,1665893000.0,152893000.0,9%,219,254,43905240900.0,291628795.0,Startup Competition,41,47,2,16,1,13,1,0,,345,0,0,"879,973.69",1.94,1.94,2.63
Northeastern US Companies With More Than $1M in Revenue (Top 10K),"9,884",971,"1,454",130,"The top 10,000 companies and startups in Northeastern US with more than $1m in revenue, by Crunchbase rank.",2022-09-15 09:30:00,"Active, Company, Location, Revenue Range",,,,,"Northeastern US, United States, North America",Regional Area,,,,,,,$1M to $10M,"36,334","10,638",2001-12-17,104,"9,133",1%,9%,"1,056",2008-04-17,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","25,307",3,631062719643.0,7236035.0,458341054175.0,2001-12-17,136250314809.0,124600066.0,650849877883.0,607179566.0,19%,"2,119","12,084",860291271686.0,406222222.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital","36,309","51,660",7,"16,033",5,"11,628",4,"1,695",1666613553294.0,"16,360",606,"1,188","82,903.03",0.7,0.7,1.08
Venture Capital Investors with Investments in Massachusetts,"2,984","1,108",56,130,Venture capital investors that made investments in companies headquartered in Massachusetts.,2022-09-15 12:22:00,"Active, Investments in Location, Investor Type",,,,,"Massachusetts, United States, North America",State/Region,,,,,,,,565,124,2005-04-18,4,386,0%,2%,64,2001-07-04,0%,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A",414,1,16551845313.0,160000.0,10450956049.0,2005-04-18,28136200243.0,145000000.0,28157107496.0,625000000.0,1%,24,"1,412",25834512277.0,3600000000.0,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","155,969","228,691",28,"62,683",8,"41,113",6,"5,480",1387573225704.0,"4,067",6,12,"257,542.51",0.84,0.84,0.87
